dataset,arch,level,scale,single_tokens,cum_tokens,tokens_used,method,ece_percent_mean,ece_percent_std,adaptive_ece_percent_mean,adaptive_ece_percent_std,brier_mean,brier_std,auroc_mean,auroc_std
ai2d,m3,1,1,1,1,1,Naive Confidence (NC),44.184431280333456,0.012238371750134378,44.18443128033347,0.01223837175013885,0.44191812037881767,0.00010295492762461908,0.6563924163544657,0.016366313181275936
ai2d,m3,1,1,1,1,1,Platt Scaling (1D),5.171203022699988,1.7450999503530071,7.473525393670545,2.1829033531381334,0.23139733248264566,0.0033814108224458064,0.6563924163544657,0.016366313181275936
ai2d,m3,1,1,1,1,1,Temperature Scaling (TS),11.676898662050391,1.709639796809822,13.864766258061929,1.3130019322067557,0.2527815808349654,0.0007222344749132648,0.6563924163544657,0.016366313181275936
ai2d,m3,1,1,1,1,1,Trajectory Platt (5D),5.204021014273168,1.6940189777156847,7.476723126471043,2.1861752921962867,0.2314036117914647,0.0033754155904804103,0.6563924163544657,0.016366313181275936
ai2d,m3,2,9,9,10,9,Naive Confidence (NC),43.39563956652951,0.00631285989722677,43.3902280036099,0.011352885092105585,0.43397085833732235,3.5619996321435e-05,0.6204197944993568,0.021362280617495313
ai2d,m3,2,9,9,10,9,Platt Scaling (1D),4.371928056478704,1.0933911807265306,7.198353622215103,1.1456111136954088,0.23606431614185008,0.0036876383583640303,0.6204197944993568,0.021362280617495313
ai2d,m3,2,9,9,10,9,Temperature Scaling (TS),9.997126600141359,0.1348427666762517,12.860850774665156,0.6453626180235784,0.25166602938505955,0.0004091534824836807,0.6204197944993568,0.021362280617495313
ai2d,m3,2,9,9,10,10,Trajectory Platt (5D),4.401903781337297,0.9860652872745308,5.946127629833663,0.7441532057089729,0.229013647581763,0.0019529803399092843,0.6532282490107635,0.015240744235543027
ai2d,m3,3,36,36,46,36,Naive Confidence (NC),42.79180016827576,0.005574255365046478,42.79180016827577,0.005574255365045517,0.4279355499013885,7.960433971923483e-05,0.6313770341807725,0.023021961527343166
ai2d,m3,3,36,36,46,36,Platt Scaling (1D),4.619578170290755,1.9109542013824585,6.396630048102529,1.355969344869486,0.23350360285769794,0.003337709086064284,0.6313770341807725,0.023021961527343166
ai2d,m3,3,36,36,46,36,Temperature Scaling (TS),9.5116109846348,0.09999556816468476,12.132545337129093,1.7690177582940718,0.24946247605972488,0.0008759865756425202,0.6313770341807725,0.023021961527343166
ai2d,m3,3,36,36,46,46,Trajectory Platt (5D),6.322499186694622,1.3168336578106732,7.432521175444127,1.1762093144304644,0.23046692323473567,0.004492221954156597,0.6500049016404157,0.019964241444894542
ai2d,m3,4,144,144,190,144,Naive Confidence (NC),43.006502121797915,0.015479342164096225,42.985740765444156,0.013270674200888054,0.4299661877016156,2.510969715171851e-05,0.6656303549571604,0.0441717224872796
ai2d,m3,4,144,144,190,144,Platt Scaling (1D),5.694051861504692,1.4441779210097745,7.277708889045819,0.7696858151916695,0.22649122266016972,0.008527599048112714,0.6656303549571604,0.0441717224872796
ai2d,m3,4,144,144,190,144,Temperature Scaling (TS),10.75453319855316,0.7704751932344556,14.032419890329527,1.4256540190462594,0.24837271195729507,0.002068650887158801,0.6656303549571604,0.0441717224872796
ai2d,m3,4,144,144,190,190,Trajectory Platt (5D),6.492060951470485,1.2915286050782082,7.427571135043254,1.201670516192865,0.2187413295723637,0.010083957622895443,0.698749898000816,0.03954960145313994
ai2d,m3,5,576,576,766,576,Naive Confidence (NC),41.815113100149595,0.020008537580214113,41.77837561998602,0.014387866301462104,0.41801398887001706,2.9622677258581697e-05,0.6206645949456584,0.01586140072355756
ai2d,m3,5,576,576,766,576,Platt Scaling (1D),4.974902048514497,1.8561854915995013,7.148969645121352,2.565166978771165,0.235060207148892,0.004036106574521218,0.6206645949456584,0.01586140072355756
ai2d,m3,5,576,576,766,576,Temperature Scaling (TS),8.538386347836093,0.2569551644926915,11.203831516057319,1.3858121047397163,0.24664705588657693,0.001226460161042268,0.6206645949456584,0.01586140072355756
ai2d,m3,5,576,576,766,766,Trajectory Platt (5D),5.710247047842713,1.8218244853557413,8.22952844947693,1.4997019419138138,0.22931084735820537,0.003141685322626522,0.6543366382216085,0.014610954022147543
ai2d,mqt,1,1,1,1,1,Naive Confidence (NC),27.804004004597665,1.3227331126605566,27.57882427275181,1.552727231262693,0.2989040487689156,0.00896457321847728,0.7220922092209221,0.029204238887273186
ai2d,mqt,1,1,1,1,1,Platt Scaling (1D),8.818514402258176,3.346523540083947,10.85720829873723,2.062976632193236,0.20735986909036402,0.010385361358930088,0.7220922092209221,0.029204238887273186
ai2d,mqt,1,1,1,1,1,Temperature Scaling (TS),14.980271544576464,1.8326663550936821,16.49535859185043,1.6113697209159266,0.2277660462142795,0.004027172413167663,0.7220922092209221,0.029204238887273186
ai2d,mqt,1,1,1,1,1,Trajectory Platt (5D),8.998772272467614,3.4510649229362103,10.853923583030701,2.044957460921322,0.20732867705819613,0.010294110966810288,0.7220922092209221,0.029204238887273186
ai2d,mqt,2,9,9,10,9,Naive Confidence (NC),26.99335588514805,2.509703681341786,26.215451285243034,2.645471925579372,0.2871069138281803,0.015906580713361505,0.7229225210758732,0.04090965939494032
ai2d,mqt,2,9,9,10,9,Platt Scaling (1D),6.969050052945707,0.6320012459660855,10.08639218204211,1.2220359864288384,0.20737321481569695,0.013241920634866084,0.7229225210758732,0.04090965939494032
ai2d,mqt,2,9,9,10,9,Temperature Scaling (TS),13.37173655998635,1.8706815831054078,15.552896428987717,0.7384331755196673,0.22318458509761568,0.007124515606599017,0.7229225210758732,0.04090965939494032
ai2d,mqt,2,9,9,10,10,Trajectory Platt (5D),7.75906960517168,2.3662795723103978,9.047632844746113,1.5144278353950822,0.20665157547383778,0.01244977361968164,0.725451625853071,0.0376254904425538
ai2d,mqt,3,36,36,46,36,Naive Confidence (NC),25.808329772949218,0.9212610217527969,25.66355493068695,1.0024646820214103,0.2825066253939109,0.008774996906647394,0.7447061191626408,0.0220436591754548
ai2d,mqt,3,36,36,46,36,Platt Scaling (1D),9.161227516676409,2.488324011931145,10.471350084456386,0.8192610620616926,0.2004708439052067,0.007199722298442182,0.7447061191626408,0.0220436591754548
ai2d,mqt,3,36,36,46,36,Temperature Scaling (TS),13.866322048602626,1.3261582311496434,14.929446276813806,1.1767735184254462,0.21899788886699084,0.0034481055034241443,0.7447061191626408,0.0220436591754548
ai2d,mqt,3,36,36,46,46,Trajectory Platt (5D),7.038383665680884,2.299538201005062,9.10491102039814,0.609282465645631,0.20010618000185745,0.008034863752848556,0.7449476650563607,0.026183860066969118
ai2d,mqt,4,144,144,190,144,Naive Confidence (NC),24.536256727576255,1.302770962965447,24.441566923260687,1.035773403072222,0.26236256139169645,0.011565373652095248,0.763930148534725,0.02235596125332448
ai2d,mqt,4,144,144,190,144,Platt Scaling (1D),7.093207945689672,1.5763469466271385,10.233972519482553,1.0994126998870357,0.19490739744081337,0.009913603126163352,0.763930148534725,0.02235596125332448
ai2d,mqt,4,144,144,190,144,Temperature Scaling (TS),14.646396974537945,1.2198965689731607,16.817416675335387,0.9834990512707836,0.21652176408987578,0.005304860472958373,0.763930148534725,0.02235596125332448
ai2d,mqt,4,144,144,190,190,Trajectory Platt (5D),9.59778878837824,2.278557531015942,9.91860783547163,1.6859832684407987,0.19646698394426448,0.01204597657667523,0.7596949016459253,0.028217825028367623
ai2d,mqt,5,256,256,446,256,Naive Confidence (NC),25.02765243947506,0.8033251937851922,24.69305112063885,0.38994476211042084,0.2757792323792469,0.01128480961168227,0.7444678926741031,0.040874070573717225
ai2d,mqt,5,256,256,446,256,Platt Scaling (1D),7.955982037451814,0.5147096813435144,9.709504174115073,0.4501041200017194,0.20070418275674298,0.015074131611659061,0.7444678926741031,0.040874070573717225
ai2d,mqt,5,256,256,446,256,Temperature Scaling (TS),14.007745315985769,2.077081605609672,15.229417763279832,2.1375186649073497,0.2192682732315129,0.007802309696998409,0.7444678926741031,0.040874070573717225
ai2d,mqt,5,256,256,446,446,Trajectory Platt (5D),10.724970690906048,2.648110205258087,10.474258826673031,2.1870863042544317,0.2024718311761986,0.013959975736425401,0.7346397347000301,0.03838629963239119
