dataset,arch,level,scale,single_tokens,cum_tokens,tokens_used,seed,method,accuracy,ece_percent,adaptive_ece_percent,brier,auroc
ai2d,m3,1,1,1,1,1,42,Naive Confidence (NC),55.50000000000001,44.48345924617366,44.48345924617366,0.4446867334019116,0.6505719202348416
ai2d,m3,1,1,1,1,1,42,Temperature Scaling (TS),55.50000000000001,11.15226598528775,14.184403260121737,0.25354532280533154,0.6505719202348416
ai2d,m3,1,1,1,1,1,42,Platt Scaling (1D),55.50000000000001,4.43473319063679,6.486658423672864,0.23128598852069365,0.6505719202348416
ai2d,m3,1,1,1,1,1,42,Trajectory Platt (5D),55.50000000000001,4.609851208515462,6.481980766169728,0.2312870637050552,0.6505719202348416
ai2d,m3,1,1,1,1,1,43,Naive Confidence (NC),55.50000000000001,44.49593299909858,44.49593299909859,0.4449302396183454,0.6855450956574551
ai2d,m3,1,1,1,1,1,43,Temperature Scaling (TS),55.50000000000001,14.103761729611088,16.606171197885775,0.25249319473874204,0.6855450956574551
ai2d,m3,1,1,1,1,1,43,Platt Scaling (1D),55.50000000000001,6.940599205528246,8.297760071960287,0.2258116909170062,0.6855450956574551
ai2d,m3,1,1,1,1,1,43,Trajectory Platt (5D),55.50000000000001,6.955696243792773,8.307727683335543,0.22582681662385223,0.6855450956574551
ai2d,m3,1,1,1,1,1,44,Naive Confidence (NC),55.50000000000001,44.49530741805514,44.495307418055155,0.4449334521806634,0.7014753517562506
ai2d,m3,1,1,1,1,1,44,Temperature Scaling (TS),55.50000000000001,15.14341360327576,15.554112856672361,0.25276109299252425,0.7014753517562506
ai2d,m3,1,1,1,1,1,44,Platt Scaling (1D),55.50000000000001,8.957151044343558,9.44497737099423,0.2249063533028518,0.7014753517562506
ai2d,m3,1,1,1,1,1,44,Trajectory Platt (5D),55.50000000000001,8.967949893325564,9.456915009766817,0.22492864555508077,0.7014753517562506
ai2d,m3,1,1,1,1,1,45,Naive Confidence (NC),55.50000000000001,44.484816821760745,44.484816821760745,0.4449827579543135,0.6647054357728513
ai2d,m3,1,1,1,1,1,45,Temperature Scaling (TS),55.50000000000001,11.622933796007297,14.688486170891062,0.2534673047506272,0.6647054357728513
ai2d,m3,1,1,1,1,1,45,Platt Scaling (1D),55.50000000000001,6.814252944303158,9.406830147350464,0.2311166005569877,0.6647054357728513
ai2d,m3,1,1,1,1,1,45,Trajectory Platt (5D),55.50000000000001,6.823254325427115,9.420550351031123,0.2311217317545021,0.6647054357728513
