dataset,arch,level,scale,single_tokens,cum_tokens,tokens_used,method,ece_percent_mean,ece_percent_std,adaptive_ece_percent_mean,adaptive_ece_percent_std,brier_mean,brier_std,auroc_mean,auroc_std
avqa,m3,1,1,1,1,1,Naive Confidence (NC),28.397927905619145,1.3501720347985064,28.68053670525551,1.2332422168952208,0.3550404529447094,0.008784479040216278,0.5937837626242857,0.0129099552094041
avqa,m3,1,1,1,1,1,Platt Scaling (1D),11.35468553978883,1.7743904632542098,16.281534110282696,1.5748997829442295,0.23697065059654623,0.0015123805514019241,0.5937837626242857,0.0129099552094041
avqa,m3,1,1,1,1,1,Temperature Scaling (TS),13.374489447539343,0.7359562386247637,19.225802111424983,1.4385396867534288,0.2531859445602781,0.0009473973127838875,0.5937837626242857,0.0129099552094041
avqa,m3,1,1,1,1,1,Trajectory Platt (5D),11.300576263666155,1.6907789688986998,16.279850068688393,1.5741684864637424,0.23696722422520886,0.0015084328650887405,0.5937837626242857,0.0129099552094041
avqa,m3,2,9,9,10,9,Naive Confidence (NC),27.59645570833236,1.936525862061172,27.36528085339815,1.968332153924132,0.3357800911854919,0.019526948052898764,0.6101199514120863,0.03129127096138271
avqa,m3,2,9,9,10,9,Platt Scaling (1D),11.883425938877425,2.3668539479643003,14.218878614249622,1.1846378289580595,0.2419129034143587,0.0024352282997119356,0.6101199514120863,0.03129127096138271
avqa,m3,2,9,9,10,9,Temperature Scaling (TS),9.217658853801469,0.6985967727483429,15.06646104820162,1.1950932633646196,0.2496972663775412,0.0017573642786822695,0.6101199514120863,0.03129127096138271
avqa,m3,2,9,9,10,10,Trajectory Platt (5D),5.439035152643919,1.2683334170274063,8.437630420178177,1.1238646122132039,0.23595680120488352,0.004346518881765574,0.6214900293551979,0.02415304208321073
avqa,m3,3,36,36,46,36,Naive Confidence (NC),25.524485003203154,1.3501842988445771,25.232054752856495,1.7631381651294018,0.32880124892972695,0.012576860840446251,0.5910629654705484,0.029473421596825762
avqa,m3,3,36,36,46,36,Platt Scaling (1D),9.50296569530065,2.6697625836695367,13.452486505481186,1.2943874248344682,0.2461605203535874,0.0038586257980655894,0.5910629654705484,0.029473421596825762
avqa,m3,3,36,36,46,36,Temperature Scaling (TS),6.2459608418923525,0.72197717269526,13.734985574471946,1.060569292138247,0.2491787715095192,0.0020674884066363545,0.5910629654705484,0.029473421596825762
avqa,m3,3,36,36,46,46,Trajectory Platt (5D),6.348419986665247,0.937086924352763,8.034848548471928,1.5069384617991797,0.2386008331331923,0.00623078686980633,0.6170365355199479,0.028289044891922483
avqa,m3,4,144,144,190,144,Naive Confidence (NC),25.196299997344614,1.3298042967790866,25.02961105816066,2.005466230720094,0.32628334028887507,0.014964866130940268,0.5908567710939845,0.02341030290691901
avqa,m3,4,144,144,190,144,Platt Scaling (1D),5.678672387581502,1.3768783091259706,13.325179540152586,1.562963874196758,0.24727237153199727,0.0019466879707658034,0.5908567710939845,0.02341030290691901
avqa,m3,4,144,144,190,144,Temperature Scaling (TS),5.0258438298277595,0.6739698689655008,13.745822476053561,0.7821449118131121,0.24927257589329663,0.0016063616399917794,0.5908567710939845,0.02341030290691901
avqa,m3,4,144,144,190,190,Trajectory Platt (5D),5.585401924699546,1.2424293616207096,7.855678916722536,0.9541602320128877,0.23493855220120602,0.004402893788804446,0.6342308077269542,0.014914624875672803
avqa,m3,5,576,576,766,576,Naive Confidence (NC),24.510871193744244,0.8623921549607714,24.06323860231787,0.8522537476670382,0.3103699431499785,0.01119491787183297,0.6124562456245625,0.02761786974439514
avqa,m3,5,576,576,766,576,Platt Scaling (1D),9.203832853912678,1.7638387604509793,14.129367553674859,2.91928888002843,0.24564225029568706,0.0027167592570901773,0.6124562456245625,0.02761786974439514
avqa,m3,5,576,576,766,576,Temperature Scaling (TS),3.986042844876684,0.7215654417523111,14.182546262782529,3.0994326356674327,0.24725082557407277,0.00201494577312947,0.6124562456245625,0.02761786974439514
avqa,m3,5,576,576,766,766,Trajectory Platt (5D),7.657790730893612,1.9151926582497485,8.28045932352543,0.8384645257887337,0.22474185995232082,0.004908219516109406,0.6847734773477347,0.028009900536418657
avqa,mqt,1,1,1,1,1,Naive Confidence (NC),29.329535211995243,2.010883342672248,28.749032101407654,2.008371566257432,0.35341697923423554,0.015760112557257625,0.5970232102527822,0.023690891188212927
avqa,mqt,1,1,1,1,1,Platt Scaling (1D),12.439158975983315,1.414780868230111,17.63168363077954,1.3561581256318747,0.22820667087982804,0.0016663335279651843,0.5970232102527822,0.023690891188212927
avqa,mqt,1,1,1,1,1,Temperature Scaling (TS),16.380960514789255,0.12015378424143469,22.579476653169525,1.0909402507978563,0.25435389915262707,0.0017691542977965329,0.5970232102527822,0.023690891188212927
avqa,mqt,1,1,1,1,1,Trajectory Platt (5D),12.61720701009035,1.3793259772929365,17.631203301250935,1.3570948664390134,0.22820392865231334,0.0016610498043135387,0.5970232102527822,0.023690891188212927
avqa,mqt,2,9,9,10,9,Naive Confidence (NC),29.622977470140903,1.0918048704215002,29.708725786488504,1.3804048909288806,0.3496996996498001,0.005683604685047851,0.5925724448164035,0.012767038949414668
avqa,mqt,2,9,9,10,9,Platt Scaling (1D),5.8135948096701515,2.2277030296218805,16.00319431035681,2.2566733998478252,0.23705601596972223,0.0008093086547444886,0.5925724448164035,0.012767038949414668
