dataset,arch,level,scale,single_tokens,cum_tokens,tokens_used,method,accuracy_mean,accuracy_std,ece_percent_mean,ece_percent_std,adaptive_ece_percent_mean,adaptive_ece_percent_std,brier_mean,brier_std,auroc_mean,auroc_std
chartqa,m3,1,1,1,1,1,Naive Confidence (NC),6.0,0.0,73.0972867488861,0.6673160842571859,73.09728674888612,0.667316084257199,0.6193046847987077,0.01018045702431046,0.8513076241134752,0.029660117489709797
chartqa,m3,1,1,1,1,1,Platt Scaling (1D),6.0,0.0,1.9474909386758488,0.45950220208007303,2.797266372215777,0.39131493781619436,0.04456628227755392,0.005254870156229441,0.8513076241134752,0.029660117489709797
chartqa,m3,1,1,1,1,1,Temperature Scaling (TS),6.0,0.0,47.869716945399745,0.1745307061549255,47.807588530226454,0.16484102350818167,0.2793015610197306,0.001554450440561261,0.8513076241134752,0.029660117489709797
chartqa,m3,1,1,1,1,1,Trajectory Platt (5D),6.0,0.0,1.9831826278124935,0.6185660034076002,2.807286567648407,0.4132992245562507,0.044584204407246364,0.005204094249118941,0.8513076241134752,0.029660117489709797
chartqa,m3,2,9,9,10,9,Naive Confidence (NC),7.000000000000002,0.0,73.20388581864536,0.41590073667858113,73.20388581864536,0.4159007366785794,0.6287414252308146,0.007265355347144935,0.8514400921658986,0.03788870963588841
chartqa,m3,2,9,9,10,9,Platt Scaling (1D),7.000000000000002,0.0,2.4252152557513043,0.8671191061566602,3.0832997704134457,0.24607532708940555,0.050437066826352815,0.0032357140552769633,0.8514400921658986,0.03788870963588841
chartqa,m3,2,9,9,10,9,Temperature Scaling (TS),7.000000000000002,0.0,47.09551869493729,0.2560642395645444,46.90374979310819,0.09573198261489298,0.2784485124240163,0.0006023661831062098,0.8514400921658986,0.03788870963588841
chartqa,m3,2,9,9,10,10,Trajectory Platt (5D),7.000000000000002,0.0,2.4982775606331415,0.910504808320562,2.95367623543134,0.4022069663628831,0.05049725974180121,0.003313668965589105,0.8527073732718893,0.03703718712314342
chartqa,m3,3,36,36,46,36,Naive Confidence (NC),8.0,0.0,72.53912278264761,1.0594957462150274,72.53912278264761,1.0594957462150203,0.6207971602245625,0.015153175158143368,0.8546959918478262,0.027679197202922702
chartqa,m3,3,36,36,46,36,Platt Scaling (1D),8.0,0.0,2.760491800663929,0.6608730879075991,3.3512551055214255,0.4629862550714727,0.059741075854181,0.0029467122202033492,0.8546959918478262,0.027679197202922702
chartqa,m3,3,36,36,46,36,Temperature Scaling (TS),8.0,0.0,45.897760895243245,0.15738586442296268,45.897760895243245,0.1573858644229575,0.27724051537974725,0.0013091005962331907,0.8546959918478262,0.027679197202922702
chartqa,m3,3,36,36,46,46,Trajectory Platt (5D),8.0,0.0,2.6730450077215204,0.8292138880912905,3.4403127635130657,0.5690075264535542,0.05966217307860603,0.003367183225964614,0.846875,0.026918313768319744
chartqa,m3,4,144,144,190,144,Naive Confidence (NC),9.5,0.0,70.90719002059781,0.8007025421923719,70.90719002059781,0.8007025421923719,0.6083495521568816,0.010140429050002307,0.8389066589124745,0.030503504958247506
chartqa,m3,4,144,144,190,144,Platt Scaling (1D),9.5,0.0,3.367153299610731,0.6331003437884485,4.212956492432879,0.9573604781186854,0.06773934951154638,0.0025111514268029724,0.8389066589124745,0.030503504958247506
chartqa,m3,4,144,144,190,144,Temperature Scaling (TS),9.5,0.0,44.619828879701096,0.25230934901245483,44.52624141995583,0.1652000074419466,0.27565788058323204,0.0015045044700393402,0.8389066589124745,0.030503504958247506
chartqa,m3,4,144,144,190,190,Trajectory Platt (5D),9.5,0.0,3.7718918561004102,1.166472555361799,3.881868353113532,1.3738451134017138,0.06806102327632656,0.0025882913445791538,0.8391247455655714,0.032367117548101856
chartqa,m3,5,576,576,766,576,Naive Confidence (NC),9.75,0.0,71.17276413164223,1.3307435397883667,71.01770538858258,1.1515550441881541,0.6182091261275372,0.013386549591316304,0.7844378151857376,0.031913632336325624
chartqa,m3,5,576,576,766,576,Platt Scaling (1D),9.75,0.0,3.1307161065538223,0.20963198924685703,4.0816582196794,0.6970477268117253,0.07603323920357827,0.004246455240410172,0.7844378151857376,0.031913632336325624
chartqa,m3,5,576,576,766,576,Temperature Scaling (TS),9.75,0.0,44.39614638809684,0.1617450275235372,44.299455842504564,0.13415196527600481,0.27750555274449834,0.0013364360489986342,0.7844378151857376,0.031913632336325624
chartqa,m3,5,576,576,766,766,Trajectory Platt (5D),9.75,0.0,2.859076029318385,0.6429808897783026,3.714772142912261,0.5999550201299465,0.07606401792789437,0.00428312422010144,0.7914624618225726,0.0347725740821556
chartqa,mqt,1,1,1,1,1,Naive Confidence (NC),6.0,0.0,69.20214021932334,0.8201744884314778,68.95735429432243,0.7504133098402723,0.6234734724641678,0.008184966328475164,0.36994680851063827,0.02924772057724481
chartqa,mqt,1,1,1,1,1,Platt Scaling (1D),6.0,0.0,2.3704880961326387,0.7305543330520571,4.959692961656854,0.4334928740803152,0.05603331115566409,0.00012063959187950036,0.6300531914893617,0.029247720577244812
chartqa,mqt,1,1,1,1,1,Temperature Scaling (TS),6.0,0.0,46.50195007219783,0.08581037790694956,46.50195007219783,0.08581037790696043,0.27468474716250657,0.0010461587660849916,0.36994680851063827,0.02924772057724481
chartqa,mqt,1,1,1,1,1,Trajectory Platt (5D),6.0,0.0,2.387637512758374,0.7423656629011911,4.9627221785485744,0.4335373748738447,0.056034604994426106,0.00011923955254717773,0.630042109929078,0.02925552902621902
chartqa,mqt,2,9,9,10,9,Naive Confidence (NC),6.25,0.0,70.15238785278052,0.891984291227031,70.14367791395634,0.8825680208158232,0.6313033004622612,0.012559629420771266,0.4557866666666667,0.056192228802368904
chartqa,mqt,2,9,9,10,9,Platt Scaling (1D),6.25,0.0,1.4174436055587825,0.6939665529270036,4.922462921565287,0.5687074375321955,0.058687193963970166,0.0004338583172644405,0.5442133333333333,0.05619222880236894
chartqa,mqt,2,9,9,10,9,Temperature Scaling (TS),6.25,0.0,46.48987794215397,0.08021263131517553,46.48987794215397,0.08021263131517832,0.27594996121530174,0.0012349306445646486,0.4557866666666667,0.056192228802368904
