dataset,arch,level,scale,single_tokens,cum_tokens,tokens_used,method,accuracy_mean,accuracy_std,ece_percent_mean,ece_percent_std,adaptive_ece_percent_mean,adaptive_ece_percent_std,brier_mean,brier_std,auroc_mean,auroc_std
docvqa,m3,1,1,1,1,1,Naive Confidence (NC),2.0,0.0,71.64198560919613,1.0934486465657125,71.64198560919614,1.0934486465657143,0.6009463217579472,0.012633208737786969,0.8088010204081634,0.08190269181196938
docvqa,m3,1,1,1,1,1,Platt Scaling (1D),2.0,0.0,0.9662713225801036,0.23342132783021383,1.7469745427631669,0.2721936471137028,0.018392247404321736,0.0008310067457351199,0.8088010204081634,0.08190269181196938
docvqa,m3,1,1,1,1,1,Temperature Scaling (TS),2.0,0.0,50.69721337838688,0.08648660353803865,50.69721337838688,0.08648660353803925,0.275986165670948,0.0011192288268701265,0.8088010204081634,0.08190269181196938
docvqa,m3,1,1,1,1,1,Trajectory Platt (5D),2.0,0.0,0.808783953503007,0.380126160891573,1.7474007445794997,0.2611017837449922,0.0184041863065897,0.0007943316161387756,0.8088010204081634,0.08190269181196938
docvqa,m3,2,9,9,10,9,Naive Confidence (NC),2.5,0.0,70.44594138972461,0.9666646338119333,70.44594138972461,0.9666646338119291,0.5822973866733002,0.009635038530713338,0.8079487179487179,0.0505525029603437
docvqa,m3,2,9,9,10,9,Platt Scaling (1D),2.5,0.0,1.045122948957291,0.6383430639970676,1.84655524561147,0.4033520351442625,0.023095069100469864,0.0012504645257019244,0.8079487179487179,0.0505525029603437
docvqa,m3,2,9,9,10,9,Temperature Scaling (TS),2.5,0.0,50.02957434228611,0.09426165693645822,50.01580171627203,0.11692577022331489,0.27354624042264386,0.0014518870016255142,0.8079487179487179,0.0505525029603437
docvqa,m3,2,9,9,10,10,Trajectory Platt (5D),2.5,0.0,1.1994835059769682,0.30058964681997746,1.9411111007473665,0.3238190096825816,0.02249636309078834,0.0015341936702408323,0.8069230769230769,0.06104287625609851
docvqa,m3,3,36,36,46,36,Naive Confidence (NC),4.0,0.0,69.79077309928834,0.9059416056982573,69.79077309928834,0.9059416056982508,0.5808236852707365,0.012748831528874559,0.7888671875,0.05390115366754626
docvqa,m3,3,36,36,46,36,Platt Scaling (1D),4.0,0.0,1.4323841760874236,0.3373410563093455,2.4287264661971784,0.43678786350094545,0.03646305451598293,0.0014008621611947825,0.7888671875,0.05390115366754626
docvqa,m3,3,36,36,46,36,Temperature Scaling (TS),4.0,0.0,48.70810439911519,0.15521251741888992,48.70810439911519,0.15521251741889325,0.2739133558558693,0.001507577614745205,0.7888671875,0.05390115366754626
docvqa,m3,3,36,36,46,46,Trajectory Platt (5D),4.0,0.0,1.6237595673184841,0.3439935489342734,2.5425631505670028,0.5244645359997744,0.03675164475139336,0.0018884860061000898,0.78037109375,0.05687255146126371
docvqa,m3,4,144,144,190,144,Naive Confidence (NC),4.25,0.0,71.90869518592953,1.03689230168731,71.90869518592953,1.0368923016873088,0.6065348029348483,0.014157164959668504,0.8111196436799263,0.03137549211654074
docvqa,m3,4,144,144,190,144,Platt Scaling (1D),4.25,0.0,1.756646579364522,0.4041872851621552,2.661803376213704,0.6337172158911196,0.039175773759153903,0.000860200882752427,0.8111196436799263,0.03137549211654074
docvqa,m3,4,144,144,190,144,Temperature Scaling (TS),4.25,0.0,48.761862238743916,0.11267484530703546,48.761862238743916,0.1126748453070371,0.2764929595919295,0.0011971333655236927,0.8111196436799263,0.03137549211654074
docvqa,m3,4,144,144,190,190,Trajectory Platt (5D),4.25,0.0,1.5425042106828186,0.640758425725298,1.8349258623784408,0.21500890141747772,0.037393153171812965,0.0012162326360694586,0.8424512363692214,0.03332633814694991
docvqa,m3,5,576,576,766,576,Naive Confidence (NC),4.5,0.0,73.70249911025167,0.8250818753875673,73.70249911025167,0.8250818753875602,0.6298943377273787,0.011904804033657007,0.8183246073298429,0.04253154715828844
docvqa,m3,5,576,576,766,576,Platt Scaling (1D),4.5,0.0,1.83356610485971,0.6163295004290621,2.5423807492590917,0.5567051638603981,0.04055677824366929,0.0010933854450016895,0.8183246073298429,0.04253154715828844
docvqa,m3,5,576,576,766,576,Temperature Scaling (TS),4.5,0.0,48.754240445118455,0.13863011211916879,48.75424044511847,0.13863011211916917,0.2784573275635892,0.0012594394019985861,0.8183246073298429,0.04253154715828844
docvqa,m3,5,576,576,766,766,Trajectory Platt (5D),4.5,0.0,1.9501207488036016,0.6608162026566533,2.2709245256526627,0.44782293568139653,0.038764233334167904,0.0016691984852932992,0.8453461314717859,0.04972690712275794
docvqa,mqt,1,1,1,1,1,Naive Confidence (NC),1.5,0.0,45.40097042173147,0.7930302944181932,45.40097042173147,0.7930302944181932,0.34620105346789426,0.006930818312581048,0.6478849407783418,0.04133910167086985
docvqa,mqt,1,1,1,1,1,Platt Scaling (1D),1.5,0.0,0.01797911973612329,0.004449496833010576,2.141027241449325,0.2206218682644567,0.014759699509014937,1.5403285003656215e-05,0.6478849407783418,0.04133910167086985
docvqa,mqt,1,1,1,1,1,Temperature Scaling (TS),1.5,0.0,48.498869309047635,0.04753224229036831,48.498869309047635,0.0475322422903739,0.25057512744301036,0.000524364918646153,0.6478849407783418,0.04133910167086985
docvqa,mqt,1,1,1,1,1,Trajectory Platt (5D),1.5,0.0,0.012356586335226863,0.003543900201363097,2.144706781161949,0.2213111587222383,0.014759670568859396,1.4871884619740264e-05,0.6478849407783418,0.04133910167086985
docvqa,mqt,2,9,9,10,9,Naive Confidence (NC),1.7500000000000004,0.0,48.19945347690955,1.0470323909344652,48.19945347690955,1.0470323909344652,0.3731627958404753,0.011475276649980024,0.6061068702290078,0.06812557131566649
docvqa,mqt,2,9,9,10,9,Platt Scaling (1D),1.7500000000000004,0.0,0.13440667199984394,0.0144935127340757,2.348754262895091,0.2575595959853117,0.01719241899716659,3.392368140700567e-05,0.6061068702290078,0.06812557131566649
docvqa,mqt,2,9,9,10,9,Temperature Scaling (TS),1.7500000000000004,0.0,48.5295737111788,0.09823938879626662,48.5295737111788,0.09823938879626912,0.253376627302467,0.0011792643922759255,0.6061068702290078,0.06812557131566649
docvqa,mqt,2,9,9,10,10,Trajectory Platt (5D),1.7500000000000004,0.0,0.17649449827149505,0.10303737613915609,1.9437294467817992,0.21542520174213117,0.017148339374511254,0.00017055559780545658,0.7053798618684114,0.0928450804087296
docvqa,mqt,3,36,36,46,36,Naive Confidence (NC),2.75,0.0,49.39741161577403,1.3205958867958512,49.39741161577403,1.3205958867958512,0.3814024270530295,0.013406081217353793,0.5779855106333256,0.03380105452038494
docvqa,mqt,3,36,36,46,36,Platt Scaling (1D),2.75,0.0,0.13074851593994943,0.016556545108619793,2.8229423510684293,0.1629125586124573,0.026741039993354938,1.669977551013798e-05,0.5779855106333256,0.03380105452038494
docvqa,mqt,3,36,36,46,36,Temperature Scaling (TS),2.75,0.0,47.76047798741831,0.11418222546899066,47.76047798741833,0.1141822254689897,0.255432646564277,0.0010855942343550413,0.5779855106333256,0.03380105452038494
docvqa,mqt,3,36,36,46,46,Trajectory Platt (5D),2.75,0.0,0.5353005332639441,0.3141268730614325,2.6785406591603538,0.38097003764689097,0.026500000927534954,0.00029386479670724777,0.6777284412245852,0.05599699539927427
docvqa,mqt,4,144,144,190,144,Naive Confidence (NC),3.75,0.0,53.02234288547188,0.6892024041941925,53.02234288547188,0.6892024041941863,0.4117113174022594,0.014199739967144367,0.593974025974026,0.07711378757607774
docvqa,mqt,4,144,144,190,144,Platt Scaling (1D),3.75,0.0,0.08023227462134316,0.03070298465578346,3.025179700454845,0.4527605716372109,0.03610412078010876,3.69776881632362e-05,0.593974025974026,0.07711378757607774
docvqa,mqt,4,144,144,190,144,Temperature Scaling (TS),3.75,0.0,47.104622273308976,0.0894444726872803,47.104622273308976,0.08944447268727378,0.25830564472004724,0.0014418163876900455,0.593974025974026,0.07711378757607774
