arch,level,scale,single_tokens,cum_tokens,tokens_used,method,ece_mean,ece_std,ada_ece_mean,ada_ece_std,brier_mean,brier_std,auroc_mean,auroc_std,method_order
mqt,1,1,1,1,1,Naive Confidence (NC),31.982378847803922,0.47339255621751225,31.83912781648604,0.5297032178929328,0.3104784214534089,0.004971889226706297,0.6744927173639799,0.013588043834113573,0
mqt,1,1,1,1,1,Temperature Scaling (TS),27.236696192061753,0.32520505247132175,27.562391415061892,0.5267025136208926,0.22637187406361042,0.0011770697916617132,0.6744927173639799,0.013588043834113573,1
mqt,1,1,1,1,1,Platt Scaling (1D),5.7220885707474896,0.5752500805454465,7.3151134714612045,0.49697326251141577,0.13115375953303438,0.0015273272044014463,0.7116507720752259,0.01181628057649681,2
mqt,1,1,1,1,1,Trajectory Platt (5D),5.700543395755813,0.6018984546915176,7.314060432470536,0.4985783170172869,0.13114598780468278,0.0015225857851283576,0.7116495522775139,0.01181456269650977,3
mqt,2,9,9,10,9,Naive Confidence (NC),32.933798011192785,0.5679238655364764,32.83891132166609,0.44794571616336043,0.31588502024611637,0.006009808829881801,0.6853220855908602,0.017362337957183713,0
mqt,2,9,9,10,9,Temperature Scaling (TS),26.91102857891941,0.26022333843560824,27.004340344554112,0.15608626221660327,0.22738288759415334,0.004054307557513271,0.6853220855908602,0.017362337957183713,1
mqt,2,9,9,10,9,Platt Scaling (1D),6.067817894528766,0.5154741822063493,7.231265754646699,0.3048514654034815,0.1362080531080546,0.0035704917702198305,0.697954466543241,0.02316295287674221,2
mqt,2,9,9,10,10,Trajectory Platt (5D),4.504777609630088,0.45007596654416454,5.941105444463236,0.4904946255086503,0.13351558493757773,0.003241120950479861,0.7207486644000188,0.024657574081878367,3
mqt,3,36,36,46,36,Naive Confidence (NC),33.53438432618443,0.33943477090997975,33.360249168931375,0.43773323528025254,0.32098415018847026,0.0036028763539307095,0.6749955145215789,0.010814184789583518,0
mqt,3,36,36,46,36,Temperature Scaling (TS),25.43617479983923,0.30022769437052027,25.758612438647372,0.4698238371106847,0.2277977938838489,0.001624175896675634,0.6749955145215789,0.010814184789583518,1
mqt,3,36,36,46,36,Platt Scaling (1D),6.470027481577034,0.831701102173251,8.170701701193032,0.8814992553760721,0.14503090344375139,0.003582104730954247,0.7014796540459638,0.012229784945767508,2
mqt,3,36,36,46,46,Trajectory Platt (5D),4.81673523040954,0.3245855261970592,5.83335815522088,0.3844854834802878,0.14020381340993687,0.003162408152356184,0.7252958220971235,0.009042553438560136,3
mqt,4,144,144,190,144,Naive Confidence (NC),34.48055093505287,0.49954914271443324,34.30896558653829,0.5148035436221717,0.33083758524211665,0.0070330804489077605,0.6665967749190665,0.016623906676346147,0
mqt,4,144,144,190,144,Temperature Scaling (TS),24.55718215162427,0.3792206247313489,24.928780340180108,0.5161620983677327,0.22830863231316129,0.002003169553439007,0.6665967749190665,0.016623906676346147,1
mqt,4,144,144,190,144,Platt Scaling (1D),5.831063252032557,0.26899317461734534,7.396508562458614,0.3078626163754067,0.14825765731510654,0.0021871396799264023,0.7059733437999627,0.017072106706030193,2
mqt,4,144,144,190,190,Trajectory Platt (5D),4.694580948981456,0.32890352761132075,5.700518870396939,0.104479908334052,0.14261961174617444,0.0024288115635075955,0.7366425682559826,0.0056932422253828325,3
mqt,5,256,256,446,256,Naive Confidence (NC),35.60855912257519,0.14028904095085065,35.40984328304019,0.0573295928349309,0.3347669258360677,0.0026102370537775784,0.6773692502127802,0.009963171042813015,0
mqt,5,256,256,446,256,Temperature Scaling (TS),25.19222225795208,0.19333159494222216,25.566922807512668,0.3886705982710282,0.2286392889957034,0.001250100963380352,0.6773692502127802,0.009963171042813015,1
mqt,5,256,256,446,256,Platt Scaling (1D),5.666166256772067,0.38308160625906046,7.311447971079453,0.24771048525557335,0.14355653060619042,0.0024643162567768513,0.6987877953370474,0.021656811782207283,2
mqt,5,256,256,446,446,Trajectory Platt (5D),4.670337603221248,0.3831174331426096,5.5383741865932405,0.4223161235895402,0.13788431545772692,0.0029729907416778407,0.7382604885479831,0.021765616216982166,3
