dataset,arch,level,scale,single_tokens,cum_tokens,tokens_used,method,ece_percent_mean,ece_percent_std,adaptive_ece_percent_mean,adaptive_ece_percent_std,brier_mean,brier_std,auroc_mean,auroc_std
scienceqa,m3,1,1,1,1,1,Naive Confidence (NC),13.1802373783929,1.9418096504293392,13.252965455963496,1.4023029798241373,0.17649470631999598,0.008186811282267033,0.6556746971173931,0.027624446226960527
scienceqa,m3,1,1,1,1,1,Platt Scaling (1D),5.320115534499646,1.0133136498784678,7.336393555020235,0.9421704159141471,0.15530083335540018,0.0036491730979017452,0.6556746971173931,0.027624446226960527
scienceqa,m3,1,1,1,1,1,Temperature Scaling (TS),10.187116834171288,1.847365904363646,10.841381868071405,1.7211283453614092,0.16863538096068628,0.0071831694534393465,0.6556746971173931,0.027624446226960527
scienceqa,m3,1,1,1,1,1,Trajectory Platt (5D),5.1936070436523085,1.0730662539343232,7.326119567666735,0.9396120988073595,0.15526905546712105,0.00362363244173208,0.6556746971173931,0.027624446226960527
scienceqa,m3,2,9,9,10,9,Naive Confidence (NC),12.887558883160144,1.2248356694748979,12.322554520213677,1.3977104415907342,0.16306513766400638,0.00713396071036018,0.6787316176470588,0.034875175180321724
scienceqa,m3,2,9,9,10,9,Platt Scaling (1D),4.991796305116381,1.2136352976601648,6.898655683001843,1.281602756390229,0.1454590459113439,0.004146406197001423,0.6787316176470588,0.034875175180321724
scienceqa,m3,2,9,9,10,9,Temperature Scaling (TS),9.086717806051567,1.8169545248505068,9.596243827396588,0.8038025787638234,0.1562402729439074,0.007121899303224541,0.6787316176470588,0.034875175180321724
scienceqa,m3,2,9,9,10,10,Trajectory Platt (5D),5.683503097011927,1.0479049192619585,7.042662759621939,1.2122423401151186,0.14607027357737284,0.0037377318678761054,0.6754007352941176,0.0319581485553066
scienceqa,m3,3,36,36,46,36,Naive Confidence (NC),11.98433659532579,1.3782245464309797,12.100466328593077,1.122456351950756,0.16218489442857492,0.0040284077179904955,0.6706113812687924,0.014496831823195184
scienceqa,m3,3,36,36,46,36,Platt Scaling (1D),4.4012072857886135,0.9019411671026591,6.268400571396721,0.7877184018241936,0.14462042991455343,0.00183363901825974,0.6706113812687924,0.014496831823195184
scienceqa,m3,3,36,36,46,36,Temperature Scaling (TS),9.457349440429763,0.6081524213000238,9.800743734647138,1.135963338714799,0.157022892815364,0.0038969302919461555,0.6706113812687924,0.014496831823195184
scienceqa,m3,3,36,36,46,46,Trajectory Platt (5D),3.9750173602785397,1.0225447836428951,6.470380669548398,1.1023814650553556,0.14471133598730676,0.0015147505710616284,0.6699580533798583,0.011413666543723904
scienceqa,m3,4,144,144,190,144,Naive Confidence (NC),11.445153758639382,1.370885150521643,11.040744713374545,1.605903428581644,0.159849038369349,0.0031317256168606994,0.6916102941176472,0.012204675259235315
scienceqa,m3,4,144,144,190,144,Platt Scaling (1D),4.134495792365245,1.636975501071519,6.143142797829221,1.7640187790308537,0.14381776981141398,0.0013257026032201793,0.6916102941176472,0.012204675259235315
scienceqa,m3,4,144,144,190,144,Temperature Scaling (TS),7.685331613061267,0.5619466936505808,8.45905744058247,0.8095816789460392,0.15314062561414019,0.001672181043350204,0.6916102941176472,0.012204675259235315
scienceqa,m3,4,144,144,190,190,Trajectory Platt (5D),4.573998564765567,1.849608162443557,6.460604117030191,1.4510134659056184,0.14414186794809733,0.0014200628910740185,0.6899926470588236,0.014007965672872926
scienceqa,m3,5,576,576,766,576,Naive Confidence (NC),12.394987407184782,0.9248089186328529,12.171116298153287,1.1791112990175636,0.16628684700673607,0.007117768038363952,0.6748845432241305,0.024952469385285166
scienceqa,m3,5,576,576,766,576,Platt Scaling (1D),4.741043772431835,0.6824018873700542,6.959825186307645,1.1203461310083627,0.14874401965737644,0.003507890492532133,0.6748845432241305,0.024952469385285166
scienceqa,m3,5,576,576,766,576,Temperature Scaling (TS),9.360906849205062,1.0963812131436024,10.174862632871829,1.2868152422388723,0.15915804924888546,0.005513473569041948,0.6748845432241305,0.024952469385285166
scienceqa,m3,5,576,576,766,766,Trajectory Platt (5D),4.766365733884631,0.9147410000997707,6.386503504855292,1.3901938874375968,0.1480658606988406,0.0037592486315050928,0.6799285611199307,0.02834020479697563
scienceqa,mqt,1,1,1,1,1,Naive Confidence (NC),24.672494091019775,0.6709293799935407,24.165306005737573,0.9903946220745704,0.2602009695574722,0.008167943423024543,0.7859521463402309,0.024355874883531744
scienceqa,mqt,1,1,1,1,1,Platt Scaling (1D),6.329741735781171,1.3131373134166693,6.190838499119009,1.5891347400080698,0.18233708421308817,0.010385591644624938,0.7859521463402309,0.024355874883531744
scienceqa,mqt,1,1,1,1,1,Temperature Scaling (TS),12.914510593333711,1.4470387774159044,13.490381567680256,1.251955485136088,0.2010683610429751,0.0053549011745100804,0.7859521463402309,0.024355874883531744
scienceqa,mqt,1,1,1,1,1,Trajectory Platt (5D),6.314800684109772,1.3865085809852014,6.190203096311871,1.5718941665232735,0.18230401053032716,0.010335594602945964,0.7859521463402309,0.024355874883531744
scienceqa,mqt,2,9,9,10,9,Naive Confidence (NC),23.748184377604193,0.7535023874128303,23.539381694085527,0.46486293411227947,0.25204768839653013,0.013495033974481577,0.7843515037593984,0.030151668798538617
scienceqa,mqt,2,9,9,10,9,Platt Scaling (1D),5.6907673769459,1.4340320274789566,6.933419974720716,1.2335696362655826,0.18032380451494573,0.00961168461623458,0.7843515037593984,0.030151668798538617
scienceqa,mqt,2,9,9,10,9,Temperature Scaling (TS),11.05883927031999,1.2110292371941884,11.669570018481679,0.8866212441340641,0.19377560491063858,0.0061929131919878574,0.7843515037593984,0.030151668798538617
scienceqa,mqt,2,9,9,10,10,Trajectory Platt (5D),6.432394014284162,0.6303781199269629,6.842860503509494,0.848156748352877,0.177199768307079,0.007749571052964917,0.7915100250626567,0.02521796718926684
scienceqa,mqt,3,36,36,46,36,Naive Confidence (NC),24.554463816751348,0.7020564671005419,24.455637347580183,0.659659240084822,0.25914847785701123,0.009148830749137212,0.7810393700787401,0.03011658971796398
scienceqa,mqt,3,36,36,46,36,Platt Scaling (1D),6.977836005622885,0.5462215614089433,7.439248238312099,1.0704016935851892,0.1820136742462019,0.011334368172111201,0.7810393700787401,0.03011658971796398
scienceqa,mqt,3,36,36,46,36,Temperature Scaling (TS),11.687269088300066,1.42341209472861,11.675491159437561,1.4335112708178486,0.194531823587261,0.007060503982740843,0.7810393700787401,0.03011658971796398
scienceqa,mqt,3,36,36,46,46,Trajectory Platt (5D),5.834926904575659,0.5125171513004418,6.152403833399904,0.9204588279239667,0.18099570734703485,0.012487354492710944,0.7802624671916011,0.03296898755762674
scienceqa,mqt,4,144,144,190,144,Naive Confidence (NC),24.44863036127374,0.6563325038350575,24.147246713095374,0.5433020241218357,0.26005006375246426,0.00438376570510334,0.7781645903716216,0.016327764494789374
scienceqa,mqt,4,144,144,190,144,Platt Scaling (1D),5.986732001278675,1.027766082237749,7.151286207102293,1.7144522467738557,0.18113089960513823,0.0056830087583145525,0.7781645903716216,0.016327764494789374
scienceqa,mqt,4,144,144,190,144,Temperature Scaling (TS),11.153699884958275,0.9321749486430146,11.728692566324295,1.0674317997996046,0.19276319941013093,0.003221917459470579,0.7781645903716216,0.016327764494789374
scienceqa,mqt,4,144,144,190,190,Trajectory Platt (5D),5.890672792597572,1.0856238231534858,6.625947040496487,1.4204633241212206,0.17864809175570293,0.005763441330362751,0.7815614442567568,0.015956239387994835
scienceqa,mqt,5,256,256,446,256,Naive Confidence (NC),24.74807124326725,1.148970697147763,24.347294161815455,0.9739847307750782,0.26412205683737777,0.011432978657394963,0.7744255823134623,0.02772896511377888
scienceqa,mqt,5,256,256,446,256,Platt Scaling (1D),7.52105998415217,0.8687675261687899,8.237603760737676,1.3222503298191133,0.18284668575693205,0.01171445281189763,0.7744255823134623,0.02772896511377888
scienceqa,mqt,5,256,256,446,256,Temperature Scaling (TS),11.76880621071436,1.768255597966304,12.50484184790534,1.827644754474643,0.19421432457405646,0.006962932279318167,0.7744255823134623,0.02772896511377888
scienceqa,mqt,5,256,256,446,446,Trajectory Platt (5D),6.436469368267768,1.3601803740264757,6.7681361904533786,1.394970055388755,0.17859889366321274,0.012167107907154695,0.7810396104750625,0.029430247731610615
