dataset,arch,level,scale,single_tokens,cum_tokens,tokens_used,method,accuracy_mean,accuracy_std,ece_percent_mean,ece_percent_std,adaptive_ece_percent_mean,adaptive_ece_percent_std,brier_mean,brier_std,auroc_mean,auroc_std
textvqa,m3,1,1,1,1,1,Naive Confidence (NC),35.75,0.0,14.629523902599715,1.280138034583936,14.667495651478955,1.1617645307680462,0.18187382193528878,0.0048825103605996305,0.8226551658458273,0.01787475135069725
textvqa,m3,1,1,1,1,1,Platt Scaling (1D),35.75,0.0,7.743733016279224,1.4943516788136029,6.810393673866338,0.5687571554563925,0.15762944353558755,0.006295561875137668,0.8226551658458273,0.01787475135069725
textvqa,m3,1,1,1,1,1,Temperature Scaling (TS),35.75,0.0,15.137630656972323,0.914981824891207,14.622053047655822,1.1122333371982414,0.18150251110021573,0.005138541147568675,0.8226551658458273,0.01787475135069725
textvqa,m3,1,1,1,1,1,Trajectory Platt (5D),35.75,0.0,7.690550972009078,1.405592453801684,6.827712528640404,0.5749915967555757,0.1576618155038958,0.006267819658670916,0.8226551658458273,0.01787475135069725
textvqa,m3,2,9,9,10,9,Naive Confidence (NC),51.249999999999986,0.0,11.010600698658834,1.3614132931245146,10.634215834447243,1.886061501010424,0.1771782930510607,0.011739761426688424,0.8299287054409005,0.026721701765719325
textvqa,m3,2,9,9,10,9,Platt Scaling (1D),51.249999999999986,0.0,7.151570646085929,1.022793636942554,7.109904435687211,1.429946414917698,0.1675194520003414,0.013806086341897044,0.8299287054409005,0.026721701765719325
textvqa,m3,2,9,9,10,9,Temperature Scaling (TS),51.249999999999986,0.0,11.196622717393229,1.554987494264535,10.831018989080698,1.945278166883002,0.17728486726601822,0.011530727881977938,0.8299287054409005,0.026721701765719325
textvqa,m3,2,9,9,10,10,Trajectory Platt (5D),51.249999999999986,0.0,7.288006049487741,1.6033682087747343,7.2158037559129315,1.2696659287234362,0.16813324468298566,0.01380720677047622,0.8276622889305816,0.026904855394380662
textvqa,m3,3,36,36,46,36,Naive Confidence (NC),56.000000000000014,0.0,9.88321959526579,0.7682540495387771,9.710291142458148,1.2311443161868423,0.1650212943718395,0.00935315448326558,0.8518668831168832,0.018925535171758948
textvqa,m3,3,36,36,46,36,Platt Scaling (1D),56.000000000000014,0.0,6.914084507098627,0.871640004890361,6.833017612004997,1.1113799864752612,0.15640301164381992,0.009131033647729651,0.8518668831168832,0.018925535171758948
textvqa,m3,3,36,36,46,36,Temperature Scaling (TS),56.000000000000014,0.0,9.61117713044952,0.513567054895541,9.803771205311486,1.1271714706478813,0.16531785592819537,0.008772300028936135,0.8518668831168832,0.018925535171758948
textvqa,m3,3,36,36,46,46,Trajectory Platt (5D),56.000000000000014,0.0,7.008048420306295,1.116662209020316,6.712758769374341,1.9828755387536705,0.15589164045891785,0.007605074875539655,0.8521053165584416,0.015709807292194983
textvqa,m3,4,144,144,190,144,Naive Confidence (NC),57.75,0.0,9.653876145885238,1.8584740679410119,9.465827094656438,2.0526644145236377,0.17184748367489627,0.005982003136779202,0.8401291016675632,0.014392423481159034
textvqa,m3,4,144,144,190,144,Platt Scaling (1D),57.75,0.0,6.204642187446517,1.2806146467807362,6.3710335776204925,1.9630381168681657,0.16205024423166187,0.006713002081126651,0.8401291016675632,0.014392423481159034
textvqa,m3,4,144,144,190,144,Temperature Scaling (TS),57.75,0.0,9.28295929688545,1.8606707956127364,9.307311172541002,2.0754104146207273,0.17135306915133977,0.005893061208227848,0.8401291016675632,0.014392423481159034
textvqa,m3,4,144,144,190,190,Trajectory Platt (5D),57.75,0.0,6.819002433493734,1.2791291984617412,5.574872829392552,1.0618697683041851,0.15994419783175798,0.007754840009466647,0.8428289659058891,0.016143413980964208
textvqa,m3,5,576,576,766,576,Naive Confidence (NC),58.75,0.0,9.536316376815432,1.3207743762856898,9.688774624497757,1.454433994419853,0.16665590500260546,0.00869318204075337,0.844869116698904,0.01816549010535581
textvqa,m3,5,576,576,766,576,Platt Scaling (1D),58.75,0.0,6.942149019782969,1.1172904039169835,7.653073234230385,0.7983317287529182,0.15840971632516787,0.009059858404316815,0.844869116698904,0.01816549010535581
textvqa,m3,5,576,576,766,576,Temperature Scaling (TS),58.75,0.0,9.503696753685697,0.7108851497632855,9.995237057830877,1.4262992971313346,0.16659299744969933,0.008058029032708556,0.844869116698904,0.01816549010535581
textvqa,m3,5,576,576,766,766,Trajectory Platt (5D),58.75,0.0,6.688509335368872,0.7995433432728195,6.6984464984387175,0.872750750035104,0.15589858359676817,0.008103781732199427,0.849170857511283,0.016218477098723323
textvqa,mqt,1,1,1,1,1,Naive Confidence (NC),12.5,0.0,28.996176261175425,1.732132338667554,28.942933590430766,1.6895681209676376,0.2660152770445209,0.013454346730220503,0.6943314285714285,0.035673563069040584
textvqa,mqt,1,1,1,1,1,Platt Scaling (1D),12.5,0.0,5.844161235246605,0.6826281572083057,9.768815229810034,1.700291188700578,0.10835696569769926,0.0027243853096643625,0.6943314285714285,0.035673563069040584
textvqa,mqt,1,1,1,1,1,Temperature Scaling (TS),12.5,0.0,36.43031646069632,0.4665159744832175,36.64310120452137,0.3737954477598353,0.2414700034599691,0.0026681648635819037,0.6943314285714285,0.035673563069040584
textvqa,mqt,1,1,1,1,1,Trajectory Platt (5D),12.5,0.0,5.812028794549405,0.6881235807260365,9.76613037865609,1.6994971171596505,0.10834240027914041,0.0027104136453464777,0.6943314285714285,0.035673563069040584
textvqa,mqt,2,9,9,10,9,Naive Confidence (NC),19.75,0.0,29.005735745374114,1.176204467644254,29.005735745374114,1.17620446764425,0.27852191552612177,0.015022360136612543,0.7169210142355771,0.018195934771005857
textvqa,mqt,2,9,9,10,9,Platt Scaling (1D),19.75,0.0,9.383849967951539,2.0957171307667797,10.154750520977956,1.6220664264232427,0.15081092418555464,0.0015988188982464918,0.7169210142355771,0.018195934771005857
textvqa,mqt,2,9,9,10,9,Temperature Scaling (TS),19.75,0.0,30.769575327726677,0.14286588079982576,30.934538553367467,0.4444378912383685,0.2462003799773828,0.0008657428860745293,0.7169210142355771,0.018195934771005857
textvqa,mqt,2,9,9,10,10,Trajectory Platt (5D),19.75,0.0,5.5359165074303744,0.6620642267202714,7.551961247809231,0.7567950948993786,0.1405175450173503,0.003067790133062,0.7072755234827872,0.04048167284023918
textvqa,mqt,3,36,36,46,36,Naive Confidence (NC),30.0,0.0,30.394918521307414,1.2345852043433996,30.394918521307414,1.2345852043433976,0.2951038437111946,0.009572691178661271,0.7264940476190477,0.014927685546548872
textvqa,mqt,3,36,36,46,36,Platt Scaling (1D),30.0,0.0,10.487180449971003,1.13927880809866,12.08449899735945,1.5607299454770267,0.1923989924218164,0.0038651568061124665,0.7264940476190477,0.014927685546548872
textvqa,mqt,3,36,36,46,36,Temperature Scaling (TS),30.0,0.0,22.210436298244762,0.46159389011341045,23.124467316259086,0.8929792685199875,0.24757888764238872,0.001291211823241905,0.7264940476190477,0.014927685546548872
textvqa,mqt,3,36,36,46,46,Trajectory Platt (5D),30.0,0.0,6.024584003165364,1.3282098712668982,6.535893423482776,1.2771721087530807,0.17424049491865629,0.005989175644969027,0.7405535714285715,0.02250163960075403
textvqa,mqt,4,144,144,190,144,Naive Confidence (NC),36.0,0.0,29.649299637321384,1.0022040709126039,29.325837714690714,0.8753086755701458,0.29979822859974253,0.018318635183114683,0.7119140625,0.033148793832452374
textvqa,mqt,4,144,144,190,144,Platt Scaling (1D),36.0,0.0,12.329651884866072,1.6072582861709792,12.619348198623646,1.379943104452798,0.21080313419889257,0.00865531058876868,0.7119140625,0.033148793832452374
textvqa,mqt,4,144,144,190,144,Temperature Scaling (TS),36.0,0.0,17.041971451841043,0.6983234087262412,19.2434271904732,1.2795671877922021,0.2468783923768627,0.0027564743242956017,0.7119140625,0.033148793832452374
textvqa,mqt,4,144,144,190,190,Trajectory Platt (5D),36.0,0.0,6.231759062968195,2.0866312696739877,7.565765810199082,1.4085585346980405,0.18906486288873084,0.011847610609749214,0.742333984375,0.03208273930662542
textvqa,mqt,5,256,256,446,256,Naive Confidence (NC),35.25,0.0,31.95552099552006,0.9916771781355519,31.6832817716524,1.1151437887663347,0.31024471691043337,0.01153080847438124,0.7208138229414824,0.021535255430321736
textvqa,mqt,5,256,256,446,256,Platt Scaling (1D),35.25,0.0,10.391389767257028,1.1129090721433001,10.86843979908314,1.1195932410246345,0.2052603939068503,0.005968630156309236,0.7208138229414824,0.021535255430321736
textvqa,mqt,5,256,256,446,256,Temperature Scaling (TS),35.25,0.0,18.033790239622626,0.34162535900315644,19.456912980555067,1.0939101750982756,0.2469083659022214,0.0018803767023681983,0.7208138229414824,0.021535255430321736
textvqa,mqt,5,256,256,446,446,Trajectory Platt (5D),35.25,0.0,5.592105278745293,1.3397154102017188,6.083501638472081,1.0937996464989392,0.1818907495257372,0.007915780534128473,0.7596976916125853,0.02487841875628287
