dataset,arch,level,scale,single_tokens,cum_tokens,tokens_used,method,accuracy_mean,accuracy_std,ece_percent_mean,ece_percent_std,adaptive_ece_percent_mean,adaptive_ece_percent_std,brier_mean,brier_std,auroc_mean,auroc_std
vllm-safety,m3,1,1,1,1,1,Naive Confidence (NC),31.31578947368421,0.0,11.321329438960865,1.1074875732553053,11.849773015434806,1.067147839387576,0.20097166359915203,0.005539493241716792,0.7520396664412892,0.014155140715718578
vllm-safety,m3,1,1,1,1,1,Platt Scaling (1D),31.31578947368421,0.0,10.747503453495266,1.9759449931562016,12.090522277360327,1.0581957664191244,0.1935819044961031,0.002824720887814246,0.7520396664412892,0.014155140715718578
vllm-safety,m3,1,1,1,1,1,Temperature Scaling (TS),31.31578947368421,0.0,15.081947328251038,1.8528306774559653,15.35910446207273,1.6640250107741057,0.2034927897849558,0.003416653252858265,0.7520396664412892,0.014155140715718578
vllm-safety,m3,1,1,1,1,1,Trajectory Platt (5D),31.31578947368421,0.0,10.695035125864177,1.9480982962063373,12.094545627110884,1.0600710224012773,0.1935885984742983,0.0028147792854978427,0.7520396664412892,0.014155140715718578
vllm-safety,m3,2,9,9,10,9,Naive Confidence (NC),32.631578947368425,0.0,12.197414787976365,1.008899376624094,12.20667972847035,1.4380141435103837,0.18785447904609573,0.010431864894161745,0.7968813004032257,0.018596350143537648
vllm-safety,m3,2,9,9,10,9,Platt Scaling (1D),32.631578947368425,0.0,14.053186321704933,1.534272059284374,14.764290147020168,2.169234085333588,0.19077082435686665,0.002381440209096808,0.7968813004032257,0.018596350143537648
vllm-safety,m3,2,9,9,10,9,Temperature Scaling (TS),32.631578947368425,0.0,16.22045575680357,1.7652956470141148,16.507011952629014,2.18572714801143,0.1964966210181552,0.004565382829576734,0.7968813004032257,0.018596350143537648
vllm-safety,m3,2,9,9,10,10,Trajectory Platt (5D),32.631578947368425,0.0,9.550482963260853,1.536472538751644,10.789017580057443,2.1515357334700043,0.18876093981670208,0.003383229632144226,0.7654485887096774,0.026664503754431718
vllm-safety,m3,3,36,36,46,36,Naive Confidence (NC),32.36842105263158,0.0,10.385305363096688,0.9069482005659492,10.587656768136902,0.8725302730720451,0.18946920062449607,0.005742648488455568,0.778361962607953,0.010710421301461765
vllm-safety,m3,3,36,36,46,36,Platt Scaling (1D),32.36842105263158,0.0,10.42042920033364,2.830629969844946,12.263156390098905,1.0783256652248878,0.1885513529384729,0.00377753940381317,0.778361962607953,0.010710421301461765
vllm-safety,m3,3,36,36,46,36,Temperature Scaling (TS),32.36842105263158,0.0,14.778476062933407,1.8272374408133172,14.840824419303118,1.240048769342749,0.19640173319104198,0.0035633986936515383,0.778361962607953,0.010710421301461765
vllm-safety,m3,3,36,36,46,46,Trajectory Platt (5D),32.36842105263158,0.0,7.982311665619674,2.1547581713138397,8.975529220151273,1.3632701085810732,0.18586039479908806,0.0047794268924127295,0.7441586789408751,0.013454724409967079
vllm-safety,m3,4,144,144,190,144,Naive Confidence (NC),32.631578947368425,0.0,10.214617191568802,1.7112188375069417,10.477494862910948,1.021415006879446,0.18000461713753177,0.0076056267046145124,0.7995022681451613,0.01562037245612784
vllm-safety,m3,4,144,144,190,144,Platt Scaling (1D),32.631578947368425,0.0,12.544852295541657,1.5569751158256366,13.410982975774257,1.8223225003292578,0.18456606619094354,0.003899469200277612,0.7995022681451613,0.01562037245612784
vllm-safety,m3,4,144,144,190,144,Temperature Scaling (TS),32.631578947368425,0.0,15.192782604012038,2.143264768073373,15.515127712856037,1.550184423540435,0.18821049588231015,0.0038869193383131223,0.7995022681451613,0.01562037245612784
vllm-safety,m3,4,144,144,190,190,Trajectory Platt (5D),32.631578947368425,0.0,9.718219713160867,0.9227527479312311,10.666326130691328,1.2840024129925522,0.18150588813049762,0.008330262855023534,0.7723727318548387,0.028149888565165256
