dataset,arch,level,scale,single_tokens,cum_tokens,tokens_used,method,ece_percent_mean,ece_percent_std,adaptive_ece_percent_mean,adaptive_ece_percent_std,brier_mean,brier_std,auroc_mean,auroc_std
vqav2,m3,1,1,1,1,1,Naive Confidence (NC),11.448873235881328,2.3551706514216604,11.48619165033102,2.029482073683695,0.1967001772496868,0.010586548336128921,0.6992530498940756,0.028009498573408082
vqav2,m3,1,1,1,1,1,Platt Scaling (1D),13.665986317177097,1.2388236058466486,14.10702128876496,0.9881929604071907,0.20424978132842747,0.0043436335129508966,0.6992530498940756,0.028009498573408082
vqav2,m3,1,1,1,1,1,Temperature Scaling (TS),15.878269297107892,0.7091642466875477,16.138329678866963,1.1707726842162471,0.2088111308771341,0.006532174643915855,0.6992530498940756,0.028009498573408082
vqav2,m3,1,1,1,1,1,Trajectory Platt (5D),13.537691301107406,1.277452820915622,14.111232584714893,0.9880223318464262,0.2042738393728419,0.004332584263594373,0.6992567024618307,0.02801089874589099
vqav2,m3,2,9,9,10,9,Naive Confidence (NC),9.534077263027429,1.7604138308984918,9.264132207185032,1.596115359243461,0.17435282968354296,0.009783738218649888,0.7068578166697698,0.029597289837186243
vqav2,m3,2,9,9,10,9,Platt Scaling (1D),9.258305863461224,0.8603049085071083,9.974398022962092,1.5422732863005386,0.1771147313804291,0.0034727876009183903,0.7068578166697698,0.029597289837186243
vqav2,m3,2,9,9,10,9,Temperature Scaling (TS),12.6247759600152,1.046318714124509,13.01532067220629,1.4568279694206088,0.18303351007036567,0.005551640106833209,0.7068578166697698,0.029597289837186243
vqav2,m3,2,9,9,10,10,Trajectory Platt (5D),5.204441345930098,1.4448417241761324,6.686683052778244,1.3076667072924428,0.17058528121888802,0.005406941039912564,0.7284139100932994,0.020710848347349698
vqav2,m3,3,36,36,46,36,Naive Confidence (NC),11.552314233779907,1.655862043931909,11.255207199454308,2.21566641449216,0.15982958472173586,0.01322782085289271,0.7116566911349519,0.038400695941744195
vqav2,m3,3,36,36,46,36,Platt Scaling (1D),8.70662910918485,1.8900462658345825,10.239964516020759,1.128499062246587,0.16138892737973298,0.004707230784993254,0.7116566911349519,0.038400695941744195
vqav2,m3,3,36,36,46,36,Temperature Scaling (TS),14.086491140278644,0.8913721589244741,13.961975425815222,1.1206890604013833,0.16966943378768834,0.00928152635131761,0.7116566911349519,0.038400695941744195
vqav2,m3,3,36,36,46,46,Trajectory Platt (5D),5.805467465519905,1.0919028686569066,6.422357705235482,1.0574657681562758,0.15753931762016077,0.0033664558465243163,0.7433901750423489,0.010216196944850858
vqav2,m3,4,144,144,190,144,Naive Confidence (NC),10.137769344896078,0.6326540212836974,9.950788496285677,0.49522709924310665,0.149765958343627,0.0029212604935234332,0.7225812547241118,0.01071695714458072
vqav2,m3,4,144,144,190,144,Platt Scaling (1D),8.62780255589163,1.3234292661759826,9.565378009742284,1.0192222453390984,0.1506855846827599,0.0010624690667300344,0.7225812547241118,0.01071695714458072
vqav2,m3,4,144,144,190,144,Temperature Scaling (TS),12.276122462638538,0.9316213367499073,12.57786894986577,1.255062190582993,0.15777091122702885,0.002059612080827842,0.7225812547241118,0.01071695714458072
vqav2,m3,4,144,144,190,190,Trajectory Platt (5D),4.827503055334089,0.7763874726984515,5.384279137849807,0.7842260803980299,0.14609508574639116,0.003667078043449593,0.7562358276643991,0.01408434157746615
vqav2,m3,5,576,576,766,576,Naive Confidence (NC),9.226204065680504,0.6605755401871801,8.604820824861527,0.7638816285273151,0.14041858357214462,0.0062664511037116375,0.7569444444444444,0.022613814527002216
vqav2,m3,5,576,576,766,576,Platt Scaling (1D),8.731805715602977,1.5147260350626035,9.85202372397831,0.9294723604590203,0.14530784831627058,0.002874819067341653,0.7569444444444444,0.022613814527002216
vqav2,m3,5,576,576,766,576,Temperature Scaling (TS),11.777558527284814,0.9574554226774157,11.985680131382601,0.8817777967286485,0.14989340780456886,0.0046041458532183315,0.7569444444444444,0.022613814527002216
vqav2,m3,5,576,576,766,766,Trajectory Platt (5D),5.442720303535461,1.1379783394706098,5.667228837013246,1.0157549523049911,0.13759303016477795,0.006104003936774228,0.7962112622826909,0.01626947879583812
vqav2,mqt,1,1,1,1,1,Naive Confidence (NC),12.984572524577382,2.3175054360103933,12.35772671699524,1.4636093565867645,0.2292734203523752,0.017252671653645694,0.6947676767676768,0.03644851205771375
