feature_dropped,baseline_ece,loo_ece,delta_ece
x1,3.76314164417772,5.798227227359468,2.035085583181748
x18,3.76314164417772,3.9329496550463903,0.16980801086867015
x9,3.76314164417772,3.907576498564357,0.14443485438663695
x6,3.76314164417772,3.9050503144917275,0.14190867031400733
x11,3.76314164417772,3.7661257167526987,0.002984072574978569
x8,3.76314164417772,3.712991812652342,-0.05014983152537811
x12,3.76314164417772,3.703876890091666,-0.05926475408605425
x3,3.76314164417772,3.697056638822069,-0.0660850053556512
x17,3.76314164417772,3.690295130209735,-0.07284651396798525
x10,3.76314164417772,3.58723815809923,-0.17590348607849027
x19,3.76314164417772,3.5049999948870605,-0.25814164929065964
x21,3.76314164417772,3.4718226161011048,-0.29131902807661536
x15,3.76314164417772,3.439747555100467,-0.3233940890772531
x4,3.76314164417772,3.406254071929235,-0.356887572248485
x22,3.76314164417772,3.004889963984833,-0.7582516801928869
x20,3.76314164417772,2.9894148303871755,-0.7737268137905446
x13,3.76314164417772,2.5197716849902387,-1.2433699591874814
x14,3.76314164417772,2.399865741897163,-1.3632759022805572
