feature_dropped,baseline_ece,loo_ece,delta_ece
x1,2.601204418474979,5.487417094862384,2.886212676387405
x12,2.601204418474979,3.806418582439916,1.205214163964937
x8,2.601204418474979,3.679809460086573,1.0786050416115938
x6,2.601204418474979,3.2523537916796235,0.6511493732046443
x11,2.601204418474979,3.0371095899420895,0.4359051714671103
x2,2.601204418474979,2.998934874445514,0.3977304559705348
x5,2.601204418474979,2.8878175101909798,0.2866130917160006
x13,2.601204418474979,2.824473707894539,0.22326928941956004
x4,2.601204418474979,2.8029678459956977,0.20176342752071852
x16,2.601204418474979,2.7832475867037445,0.18204316822876532
x9,2.601204418474979,2.729122824505571,0.127918406030592
x10,2.601204418474979,2.7272919609481168,0.12608754247313758
x15,2.601204418474979,2.7233687083444673,0.12216428986948813
x3,2.601204418474979,2.6406420629463607,0.03943764447138154
x17,2.601204418474979,2.611352271749655,0.010147853274675711
x14,2.601204418474979,2.6036670980744527,0.0024626795994735495
x7,2.601204418474979,2.3780930578149344,-0.22311136066004478
