dataset,cardinality,best_subset,ada_ece,ece,brier,auroc
ai2d,1,x5,0.024718467860474554,0.005191257725486939,0.24296326245689215,0.5277798056528388
ai2d,2,x3+x5,0.02803702936258589,0.004136545002959941,0.24334826468859838,0.5266370706522633
ai2d,3,x1+x3+x5,0.032247018194357185,0.026391197280296923,0.2323985441343836,0.6316634604317729
ai2d,4,x2+x3+x4+x5,0.03807198779087384,0.013122209630948213,0.23261518632043135,0.6124786662062842
ai2d,5,x1+x2+x3+x4+x5,0.054695545440144266,0.04782165190708287,0.2266778970508228,0.664000065768921
chartqa,1,x5,0.013885730510665772,9.676870962463268e-05,0.08112718415226913,0.5355849388799282
chartqa,2,x1+x5,0.015262847823214474,0.01478023962153719,0.06958842546927986,0.8060710438366901
chartqa,3,x1+x3+x5,0.013245192779877889,0.015610538037937922,0.069658157832059,0.806619519429034
chartqa,4,x1+x2+x3+x5,0.01650399910664375,0.018090255094458895,0.06925064912615683,0.8081241346985156
chartqa,5,x1+x2+x3+x4+x5,0.022996434197676236,0.018500590393037135,0.06923873965220291,0.809551943691152
docvqa,1,x4,0.012026967677546806,0.0006150551848602879,0.04158521193926107,0.6356409281095474
docvqa,2,x1+x3,0.009117869543942666,0.004185703904567396,0.040191650939991226,0.7759147965005705
docvqa,3,x1+x3+x5,0.0074281561638898114,0.005570272456380804,0.04012158214853779,0.7790110308101941
docvqa,4,x1+x2+x3+x5,0.008252165458013707,0.007359615190359356,0.038985429473151055,0.7830315709395208
docvqa,5,x1+x2+x3+x4+x5,0.00944117654876162,0.0027892309340915326,0.038789707434449164,0.7868276911373145
gqa,1,x5,0.0334364623329365,0.007654021850673159,0.2211263109500771,0.5349186229531364
gqa,2,x4+x5,0.01665456428125754,0.012477074694685165,0.20621013948709288,0.6457735343803873
gqa,3,x3+x4+x5,0.017799498414183053,0.014139078621256329,0.20632642287265313,0.6451996086345542
gqa,4,x2+x3+x4+x5,0.02045816239138753,0.01872136519069357,0.20632846662924048,0.6448008888638938
gqa,5,x1+x2+x3+x4+x5,0.031938723512873086,0.022482403481450426,0.1921883641047942,0.7200738460739802
infographicvqa,1,x5,0.005019119446872181,3.39811571570519e-05,0.008332352683558173,0.5092875391382854
infographicvqa,2,x1+x5,0.004461206502751818,5.029149759549871e-05,0.008324751471742997,0.5959008048560287
infographicvqa,3,x1+x4+x5,0.005598476199089146,2.4611367721841595e-05,0.008328210319301674,0.5838183599377629
infographicvqa,4,x1+x2+x3+x4,0.005894529113254117,2.5351109696324786e-05,0.008348744297946274,0.5267100789488849
infographicvqa,5,x1+x2+x3+x4+x5,0.00642197697979613,4.932881963244651e-06,0.008347540883066636,0.5338173994890413
lego-puzzles,1,x5,0.04107266086384888,0.006866444239306327,0.1970921757412165,0.5164094242550032
lego-puzzles,2,x2+x4,0.045858142431525466,0.004406286480421727,0.1980774384578519,0.4936412694818672
lego-puzzles,3,x3+x4+x5,0.03568902718035946,0.01633172402677698,0.19270985216914124,0.5889530422531667
lego-puzzles,4,x1+x2+x3+x5,0.041345118599581905,0.02317056731544352,0.19271972718933847,0.5825251267343421
lego-puzzles,5,x1+x2+x3+x4+x5,0.03445719560484746,0.023931214413385273,0.193211765937546,0.5789275066983659
mmbench,1,x2,0.023430805888888087,0.0022540690455099084,0.19141732954460733,0.6130873048520107
mmbench,2,x2+x4,0.027256291599851507,0.004679392739908106,0.19049220764045585,0.6163949775714481
mmbench,3,x2+x4+x5,0.0280510329372696,0.020060846989973548,0.18954704140149478,0.6542563319033907
mmbench,4,x1+x2+x3+x5,0.033844806930295436,0.03173762269663469,0.1877885385251479,0.6847642553524906
mmbench,5,x1+x2+x3+x4+x5,0.037942042134757964,0.03140219985680282,0.18696987214654617,0.6864135864135863
mmmu,1,x3,0.01126368047263973,7.404091088503845e-05,0.018329906547604476,0.49583828775267547
mmmu,2,x1+x2,0.009222759320354858,0.005165455531860314,0.017308296635797738,0.7034036860879905
mmmu,3,x1+x2+x4,0.00977866586835932,0.00528569430639208,0.01732909476200477,0.6934453032104638
mmmu,4,x1+x2+x3+x4,0.012184651462849302,0.005368227429633081,0.017362564340346245,0.6943370986920332
mmmu,5,x1+x2+x3+x4+x5,0.015523565612081396,0.0050148281709506744,0.017429752570670545,0.6788049940546969
