dataset,cardinality,subset,has_x1,ada_ece,ece,brier,auroc,ada_ece_percent,ece_percent
ai2d,1,x1,True,0.03869997618328802,0.030289932029159083,0.23218208389703612,0.630509544714645,3.869997618328802,3.0289932029159083
ai2d,1,x2,False,0.030243876969776866,0.00970974207816698,0.23211665145464994,0.5934540193031783,3.0243876969776866,0.9709742078166981
ai2d,1,x3,False,0.08230186588161457,0.0017537580364010963,0.24365652301069254,0.5009036649731169,8.230186588161457,0.17537580364010963
ai2d,1,x4,False,0.03877852641574885,0.03912367484133873,0.23420216744100344,0.5958029563129943,3.877852641574885,3.912367484133873
ai2d,1,x5,False,0.024718467860474554,0.005191257725486939,0.24296326245689215,0.5277798056528388,2.4718467860474553,0.519125772548694
ai2d,2,x1+x2,True,0.05691066194002473,0.049421853409136886,0.22618921556512878,0.6652677617191995,5.691066194002473,4.942185340913689
ai2d,2,x1+x3,True,0.0400737542440134,0.0302889214056142,0.23236782567593017,0.6305427580196977,4.00737542440134,3.0288921405614198
ai2d,2,x1+x4,True,0.05771651864247018,0.05881993285763193,0.22737757831071417,0.6642322300596852,5.771651864247018,5.881993285763193
ai2d,2,x1+x5,True,0.03234230734716567,0.02639812260034396,0.23220772802013825,0.631645045133922,3.2342307347165673,2.6398122600343963
ai2d,2,x2+x3,False,0.03563277761519569,0.010545773336371961,0.23249941043401595,0.5920745161873757,3.563277761519569,1.0545773336371962
ai2d,2,x2+x4,False,0.03403617552407503,0.009686577860457337,0.23219969468797327,0.5925049737746427,3.403617552407503,0.9686577860457337
ai2d,2,x2+x5,False,0.0380409877344841,0.013295437327632262,0.23214222292584094,0.614001545569641,3.8040987734484095,1.3295437327632262
ai2d,2,x3+x4,False,0.04595908371434883,0.03940033503179352,0.2345766641980058,0.5944178628389154,4.5959083714348825,3.940033503179352
ai2d,2,x3+x5,False,0.02803702936258589,0.004136545002959941,0.24334826468859838,0.5266370706522633,2.803702936258589,0.41365450029599404
ai2d,2,x4+x5,False,0.040928054333919724,0.04319407692623667,0.2341593535869364,0.6164415725348986,4.092805433391972,4.319407692623667
ai2d,3,x1+x2+x3,True,0.060897966381778815,0.05045946877364383,0.2264447502539423,0.6654410628257617,6.089796638177882,5.045946877364383
ai2d,3,x1+x2+x4,True,0.06167951283391987,0.05145444561683449,0.22627749593259314,0.6650744010917641,6.167951283391987,5.1454445616834485
ai2d,3,x1+x2+x5,True,0.05606870653768476,0.04645833503426402,0.22632772831526235,0.6642674164323649,5.6068706537684765,4.645833503426402
ai2d,3,x1+x3+x4,True,0.059099338902841844,0.05770639929053452,0.2276165543295836,0.6641579111790723,5.909933890284185,5.770639929053452
ai2d,3,x1+x3+x5,True,0.032247018194357185,0.026391197280296923,0.2323985441343836,0.6316634604317729,3.2247018194357184,2.639119728029692
ai2d,3,x1+x4+x5,True,0.05415699448277239,0.056228046312765435,0.22748299263019972,0.6624870517436985,5.415699448277239,5.622804631276543
ai2d,3,x2+x3+x4,False,0.036214481397561636,0.010558398111695127,0.23258785976174717,0.5907867607162236,3.6214481397561635,1.0558398111695126
ai2d,3,x2+x3+x5,False,0.033877305449175006,0.013760086417154009,0.23252476331504077,0.6129765369374702,3.387730544917501,1.376008641715401
ai2d,3,x2+x4+x5,False,0.037479709797298776,0.013476574858230153,0.23222349765909758,0.6135526726845228,3.7479709797298777,1.3476574858230153
ai2d,3,x3+x4+x5,False,0.04466070024989146,0.041142630589361025,0.23452226041134563,0.6161748795606636,4.466070024989146,4.1142630589361024
ai2d,4,x1+x2+x3+x4,True,0.06326043911305682,0.05088418565273286,0.2265365613249588,0.6650786760716223,6.326043911305682,5.088418565273286
ai2d,4,x1+x2+x3+x5,True,0.05393956407052428,0.047847347257732105,0.22658637417046257,0.664420986862658,5.393956407052428,4.784734725773211
ai2d,4,x1+x2+x4+x5,True,0.055417982676908464,0.04818703674367365,0.2264147534067285,0.6638612933458294,5.541798267690846,4.818703674367366
ai2d,4,x1+x3+x4+x5,True,0.05640887660055303,0.05572914987248242,0.2277245844395429,0.6624656768444073,5.640887660055303,5.572914987248242
ai2d,4,x2+x3+x4+x5,False,0.03807198779087384,0.013122209630948213,0.23261518632043135,0.6124786662062842,3.807198779087384,1.3122209630948214
ai2d,5,x1+x2+x3+x4+x5,True,0.054695545440144266,0.04782165190708287,0.2266778970508228,0.664000065768921,5.469554544014427,4.7821651907082865
chartqa,1,x1,True,0.016855354734154764,0.01546094180492568,0.06959388676698959,0.8063408505015056,1.6855354734154764,1.546094180492568
chartqa,1,x2,False,0.01610736112304724,0.0052214216234783084,0.07971022381520193,0.6254285888717551,1.610736112304724,0.5221421623478308
