dataset,cardinality,best_subset,ada_ece,ece,brier,auroc
ai2d,1,x2,0.025036812171033145,0.0029537282294895407,0.23365377110457267,0.6084679942484666
ai2d,2,x2+x5,0.015170509150156728,0.017438432601550355,0.23336877210530835,0.6292467687929941
ai2d,3,x2+x4+x5,0.017612450700607487,0.019905340690304703,0.23337589008135887,0.6299017261653455
ai2d,4,x1+x2+x3+x4,0.029427063645761642,0.03607458218763253,0.20331447635298738,0.7363746194949574
ai2d,5,x1+x2+x3+x4+x5,0.0371004032019379,0.03753323523581794,0.20351071742451035,0.7350778038977017
chartqa,1,x2,0.012837457617942886,0.008923276368379883,0.07360881518727955,0.6202580895097702
chartqa,2,x4+x5,0.016535743950151244,0.0023874395607373323,0.07374107669570062,0.6345952823855913
chartqa,3,x1+x2+x5,0.01226670485488822,0.009896880774939979,0.07270527280011584,0.6782530866877511
chartqa,4,x1+x2+x4+x5,0.012189696466054197,0.008725125403342915,0.07279506267451356,0.6742588442746409
chartqa,5,x1+x2+x3+x4+x5,0.017872398581898468,0.006772772075606577,0.07289319976079042,0.6792449679558896
docvqa,1,x4,0.006252135477974811,0.0012921417424531264,0.036773577287407,0.6034773858486806
docvqa,2,x2+x4,0.008330334256866367,0.00011091134642605139,0.03677028434361101,0.6065367290016277
docvqa,3,x1+x3+x4,0.007690759158666059,0.0015225652274277366,0.03685783934895418,0.6003403772514537
docvqa,4,x1+x3+x4+x5,0.008322057815211522,0.00213568525414276,0.03666461648722868,0.6547332023151057
docvqa,5,x1+x2+x3+x4+x5,0.011804622338232639,0.003238572716298324,0.036672494650406694,0.655388293453816
gqa,1,x4,0.027464252642409873,0.018103863972828288,0.21701541507729064,0.6069143200579804
gqa,2,x2+x4,0.028674636750894832,0.018757809334536774,0.2169811111792752,0.6043511693270404
gqa,3,x1+x4+x5,0.03352956477979936,0.029764077844211957,0.18141147524334428,0.768039278075339
gqa,4,x1+x2+x4+x5,0.03526416156421943,0.04250480181198431,0.18169911704703504,0.7673587173640204
gqa,5,x1+x2+x3+x4+x5,0.054363949668170874,0.048639526312416984,0.18267703327755702,0.7654186774142229
infographicvqa,1,x1,0.006531398789203823,5.279358570600776e-05,0.006944213904535267,0.6833549129621637
infographicvqa,2,x1+x3,0.006279276020535645,6.801227390518423e-05,0.006941514100577681,0.7059415911379657
infographicvqa,3,x1+x4+x5,0.005417814677569714,0.00034211215018843433,0.006957692386861219,0.6691123579341102
infographicvqa,4,x1+x3+x4+x5,0.004635565100675258,0.0004627285376268735,0.006947689473220823,0.7161559487843476
infographicvqa,5,x1+x2+x3+x4+x5,0.005070940048343206,0.0006519520092922884,0.0069644631102064695,0.701913393756294
lego-puzzles,1,x2,0.03370747133417084,0.0067473022262852945,0.19820016428059142,0.48514620948678616
lego-puzzles,2,x2+x4,0.03947513634061159,0.00903241902874093,0.20020112524821115,0.48478682317687377
lego-puzzles,3,x1+x3+x4,0.030323145692733686,0.0306031238090159,0.19130350152587577,0.6132092185119382
lego-puzzles,4,x1+x2+x3+x4,0.038328303163434094,0.030502036941075335,0.19341961912785205,0.6072565663928243
lego-puzzles,5,x1+x2+x3+x4+x5,0.05200501615511607,0.037342587753191894,0.19294762146534578,0.6105517845301909
mmbench,1,x5,0.028209862917287568,0.004495111090110908,0.19939255996967264,0.5821219214729718
mmbench,2,x3+x5,0.03205711614730563,0.034552734435628216,0.1935245506853318,0.6376829412227555
mmbench,3,x2+x4+x5,0.039069078929179775,0.027871015851003284,0.1953104908540959,0.6267113856322291
mmbench,4,x1+x3+x4+x5,0.04528370984229691,0.04207314900889617,0.1580793784309299,0.8017054843024628
mmbench,5,x1+x2+x3+x4+x5,0.048999052728185014,0.05042787153781016,0.1579848148781057,0.8020349752144149
mmmu,1,x4,0.0073201472384486505,1.873473515631198e-05,0.012644403341206372,0.6208360197721899
mmmu,2,x1+x2,0.009785195700876853,0.00017444162619643586,0.0126664097390021,0.6036965398667526
mmmu,3,x1+x2+x3,0.007922589086389938,0.0008959426657047834,0.012595848199526534,0.6598968407479047
mmmu,4,x1+x2+x3+x4,0.008998343596759242,0.000917937872431104,0.012597738850706296,0.6763378465506125
mmmu,5,x1+x2+x3+x4+x5,0.011614378956668734,0.0009841570931323563,0.01264503379267361,0.6630131098216205
pope,1,x1,0.01760156862240675,0.017052194108257635,0.10166650506357207,0.8218791974333457
pope,2,x2+x5,0.01740761708372563,0.016784951277651696,0.11487682260173843,0.6957050760090658
pope,3,x1+x2+x3,0.01617733451602199,0.019230784041823542,0.10195246681346955,0.8219371930581558
pope,4,x1+x2+x4+x5,0.015724919287382635,0.016586232597155123,0.1024124907935648,0.8190896078799816
pope,5,x1+x2+x3+x4+x5,0.01620325293587566,0.015714271239699984,0.10241198936534801,0.8206264919374482
scienceqa,1,x2,0.032764797512775314,0.01153236077031339,0.22274584943131026,0.5835721000429833
scienceqa,2,x1+x3,0.03292371500194546,0.03623498777064263,0.17815588398565319,0.7862686899934506
scienceqa,3,x2+x4+x5,0.02821317339733989,0.030208916917225385,0.21664904553674974,0.6578052328229996
scienceqa,4,x1+x3+x4+x5,0.03099901033085325,0.03468051883991073,0.17876875004708528,0.7849020118574067
scienceqa,5,x1+x2+x3+x4+x5,0.040424022436353055,0.03937014698605985,0.17950478852891122,0.7834195680439566
seedbench,1,x1,0.030306845442146905,0.03486346248071053,0.1863146935530495,0.7645428164908685
seedbench,2,x3+x5,0.02274644757622666,0.0229588190813041,0.21007026622896302,0.6827890723994618
seedbench,3,x1+x2+x4,0.02989634652494684,0.030650302694641855,0.1864293193878282,0.7642184655171667
seedbench,4,x2+x3+x4+x5,0.03381633156194029,0.028502086662291884,0.20482473636878534,0.7029118068079107
seedbench,5,x1+x2+x3+x4+x5,0.05304162265804685,0.03440340189710904,0.1856463237544503,0.7651915184382716
textvqa,1,x5,0.022260831316467066,0.013892272098859217,0.21967232302521456,0.6069224239437006
textvqa,2,x2+x4,0.022309111162994687,0.01671632870242614,0.21626502437416786,0.6326701169254361
textvqa,3,x2+x4+x5,0.02249310459817992,0.018191320105471132,0.20704569409847062,0.6824348969029821
textvqa,4,x1+x2+x4+x5,0.03856198997357301,0.02946590987342419,0.1925593075923448,0.738056354226567
textvqa,5,x1+x2+x3+x4+x5,0.03451710647226195,0.033035315269010976,0.18509207801935854,0.7468693009118541
vizwiz-vqa,1,x4,0.0266093177757197,0.015422764331439968,0.16900225909908068,0.6371725014116318
vizwiz-vqa,2,x4+x5,0.009230583950073092,0.013428160443935182,0.16485512643279043,0.6759542631281762
vizwiz-vqa,3,x2+x4+x5,0.023725648732225695,0.01108712976483472,0.1648607220870985,0.6741897233201581
vizwiz-vqa,4,x2+x3+x4+x5,0.030197746754127813,0.02872733564328449,0.1469158743256934,0.7363297571993224
vizwiz-vqa,5,x1+x2+x3+x4+x5,0.03049984338034646,0.02811900613100454,0.13779035341502896,0.8026171654432525
vqav2,1,x4,0.025927109410131474,0.007001707091932476,0.1633280753970962,0.6607664919242755
vqav2,2,x4+x5,0.02319265881957617,0.021455163007045756,0.16105990172921786,0.7025230789860749
vqav2,3,x2+x4+x5,0.025600725762627764,0.01604396608169756,0.16136460075192752,0.700284672256747
vqav2,4,x1+x2+x4+x5,0.02552265801650085,0.01914490767356018,0.15583839886893192,0.7292903726859903
