dataset,cardinality,subset,has_x1,ada_ece,ece,brier,auroc,ada_ece_percent,ece_percent
ai2d,1,x1,True,0.036220922442187845,0.030216780511737703,0.20440813218814508,0.7330514665503195,3.6220922442187846,3.02167805117377
ai2d,1,x2,False,0.025036812171033145,0.0029537282294895407,0.23365377110457267,0.6084679942484666,2.5036812171033143,0.29537282294895406
ai2d,1,x3,False,0.07810175878733333,0.03863546849860702,0.24808028402327448,0.5102480676238449,7.810175878733333,3.863546849860702
ai2d,1,x4,False,0.05393179848738747,0.041861398475273856,0.23739022337614843,0.607162613824034,5.393179848738747,4.186139847527386
ai2d,1,x5,False,0.03145045519892969,0.01230696922429263,0.247231072808347,0.5339424101020626,3.1450455198929688,1.230696922429263
ai2d,2,x1+x2,True,0.037921842514108,0.031051751295224656,0.20457496576943934,0.7335532646602132,3.7921842514108004,3.1051751295224657
ai2d,2,x1+x3,True,0.03528795775384741,0.02860527469683314,0.20315580449986367,0.735880882398877,3.528795775384741,2.860527469683314
ai2d,2,x1+x4,True,0.04551256915020654,0.03336822517510472,0.20478651796769726,0.7314916603773964,4.551256915020653,3.3368225175104715
ai2d,2,x1+x5,True,0.043043102305356136,0.04061408968365746,0.20405561861143293,0.7321828923119088,4.304310230535614,4.061408968365746
ai2d,2,x2+x3,False,0.07114664704183311,0.015915232386285835,0.2338495702823302,0.6090992723927406,7.114664704183311,1.5915232386285834
ai2d,2,x2+x4,False,0.030802718142935396,0.0035641566880104786,0.23366979129311874,0.6101507308820462,3.0802718142935395,0.35641566880104786
ai2d,2,x2+x5,False,0.015170509150156728,0.017438432601550355,0.23336877210530835,0.6292467687929941,1.5170509150156728,1.7438432601550355
ai2d,2,x3+x4,False,0.09620374857766338,0.057297570650157774,0.23762651399880963,0.6084292006194889,9.620374857766338,5.729757065015777
ai2d,2,x3+x5,False,0.043772085380853615,0.00431866599599463,0.24741181809748913,0.5285082791649999,4.377208538085362,0.431866599599463
ai2d,2,x4+x5,False,0.0368522871314782,0.03984140574832827,0.23693169043645126,0.6272808890492134,3.6852287131478203,3.984140574832827
ai2d,3,x1+x2+x3,True,0.03773498657941773,0.03524418197861482,0.20349459285092522,0.7354909308556463,3.7734986579417726,3.524418197861482
ai2d,3,x1+x2+x4,True,0.03189242379265984,0.026628588827544562,0.20432143892350663,0.7350677276304347,3.1892423792659836,2.662858882754456
ai2d,3,x1+x2+x5,True,0.04399886989503804,0.04377670633139426,0.2042917137483997,0.7324771193161036,4.399886989503804,4.3776706331394255
ai2d,3,x1+x3+x4,True,0.03496666111086405,0.03067892492114468,0.20358387800037128,0.7341850466178506,3.4966661110864052,3.067892492114468
