dataset,arch,budget,method,adaptive_ece_percent_mean,adaptive_ece_percent_std,ece_percent_mean,ece_percent_std,auroc_mean,auroc_std,brier_mean,brier_std,effective_n_mean,effective_n_std,is_capped
ai2d,mqt,100,Naive Confidence (NC),26.924747750163085,0.0,27.15036953985691,0.0,0.7457631386769408,0.0,0.28872155474471417,0.0,100.0,0.0,False
ai2d,mqt,100,Platt Scaling (1D),8.329801488740582,0.6249748011457689,5.924027682403514,1.18384007584915,0.7457631386769408,0.0,0.20198511169173075,0.0020044672435900134,100.0,0.0,False
ai2d,mqt,100,Temperature Scaling (TS),12.973684140258559,0.43532265110920454,12.262987283890984,0.5869446756923591,0.7457631386769408,0.0,0.21981826470586835,0.0009775427218448743,100.0,0.0,False
ai2d,mqt,100,Trajectory Platt (5D),8.365182147920132,1.2219794296612805,7.393299624323845,1.8315038352309478,0.7364760393845534,0.010290226067233794,0.20721335198812652,0.005504029126481558,100.0,0.0,False
ai2d,mqt,100,VCPS-5D (Our Method),6.906006947177812,1.963443062652312,5.9302448536347665,1.8155756892511954,0.7452292815592656,0.0008848504997209683,0.20240757401384993,0.002642027508662973,100.0,0.0,False
ai2d,mqt,1000,Naive Confidence (NC),26.924747750163085,0.0,27.15036953985691,0.0,0.7457631386769408,0.0,0.28872155474471417,0.0,1000.0,0.0,False
ai2d,mqt,1000,Platt Scaling (1D),8.20734054845376,0.10048064000496654,5.40833767295317,0.7287714602405604,0.7457631386769408,0.0,0.20145747432077696,0.00022642440388677672,1000.0,0.0,False
ai2d,mqt,1000,Temperature Scaling (TS),13.054921487945615,0.07411066147103947,13.551511796527327,0.32047429788522225,0.7457631386769408,0.0,0.2196400364631607,0.0001523702227274776,1000.0,0.0,False
ai2d,mqt,1000,Trajectory Platt (5D),6.996827117353679,0.4300380909424174,7.510193065553904,1.1463133662338911,0.7402029664324746,0.0028765006655662034,0.20289881970869467,0.0004971708929014497,1000.0,0.0,False
ai2d,mqt,1000,VCPS-5D (Our Method),7.369620918141176,0.30242297025449166,6.509075431541677,0.7109059459297163,0.7455516103850319,0.00046042337576788757,0.20114405308668365,0.0002556530053411637,1000.0,0.0,False
ai2d,mqt,1500,Naive Confidence (NC),26.924747750163085,0.0,27.15036953985691,0.0,0.7457631386769408,0.0,0.28872155474471417,0.0,1500.0,0.0,False
ai2d,mqt,1500,Platt Scaling (1D),8.233521248518885,0.017158518008622944,5.447615128919286,0.21924684144359907,0.7457631386769408,0.0,0.20143565605831676,4.089814503871885e-05,1500.0,0.0,False
ai2d,mqt,1500,Temperature Scaling (TS),13.091655761612618,0.0144949598074695,13.454855645227806,0.2508788198980221,0.7457631386769408,0.0,0.2197063318704071,3.0614009235087205e-05,1500.0,0.0,False
ai2d,mqt,1500,Trajectory Platt (5D),6.8863943792879585,0.634640829622694,6.634750912338495,0.1924860658966981,0.7384251215028581,0.0009652602359310569,0.2035471327766456,0.00020444575742852288,1500.0,0.0,False
ai2d,mqt,1500,VCPS-5D (Our Method),6.870884027602844,0.4130840166814974,6.980204820406259,0.5321458090676858,0.745400518747954,0.00011621949343212935,0.20122599781015255,5.6284412507131486e-05,1500.0,0.0,False
ai2d,mqt,200,Naive Confidence (NC),26.924747750163085,0.0,27.15036953985691,0.0,0.7457631386769408,0.0,0.28872155474471417,0.0,200.0,0.0,False
ai2d,mqt,200,Platt Scaling (1D),8.176088067275842,0.11800781679139337,6.106851643234428,0.2516681190656786,0.7457631386769408,0.0,0.20157487577580327,0.00042862963774214927,200.0,0.0,False
ai2d,mqt,200,Temperature Scaling (TS),12.837221473355788,0.2768306287510832,12.814850272500593,0.9236121336821177,0.7457631386769408,0.0,0.21947178641193657,0.00032810467705292513,200.0,0.0,False
ai2d,mqt,200,Trajectory Platt (5D),6.630903729796411,1.6526364737907948,7.239224609732628,0.469144859373414,0.7351061418750472,0.007595150153778038,0.20523461311898167,0.0024387797308582696,200.0,0.0,False
ai2d,mqt,200,VCPS-5D (Our Method),6.205519767001253,0.882246671835805,5.357283777570197,1.4581519017234472,0.7456019742640578,0.0011427440959701385,0.2012390378315556,0.0004173328981456889,200.0,0.0,False
ai2d,mqt,50,Naive Confidence (NC),26.924747750163085,0.0,27.15036953985691,0.0,0.7457631386769408,0.0,0.28872155474471417,0.0,50.0,0.0,False
ai2d,mqt,50,Platt Scaling (1D),9.428526928804885,1.6169954360977639,7.3879800268844065,3.80866551199856,0.7457631386769408,0.0,0.2059404152409444,0.005905155464604512,50.0,0.0,False
ai2d,mqt,50,Temperature Scaling (TS),13.466476194602302,0.6929319612402838,12.8599237271177,1.3690553152683267,0.7457631386769408,0.0,0.2210298306653334,0.0018927909016100703,50.0,0.0,False
ai2d,mqt,50,Trajectory Platt (5D),10.047356184571983,0.9743372430829482,8.295764540880917,2.1406740411789875,0.7143713328800584,0.02133543893428176,0.21562958636047655,0.006676622308557282,50.0,0.0,False
ai2d,mqt,50,VCPS-5D (Our Method),8.72444078662009,2.7495886384707924,8.08666859244146,2.6654814136355496,0.7424290498854222,0.0031468156072988205,0.2056159516052564,0.006866596370890829,50.0,0.0,False
ai2d,mqt,500,Naive Confidence (NC),26.924747750163085,0.0,27.15036953985691,0.0,0.7457631386769408,0.0,0.28872155474471417,0.0,500.0,0.0,False
ai2d,mqt,500,Platt Scaling (1D),8.15942521486479,0.11886707201126626,5.133454053632171,0.6569543872055962,0.7457631386769408,0.0,0.2014003422967891,0.00023576938084552773,500.0,0.0,False
ai2d,mqt,500,Temperature Scaling (TS),12.952102655361632,0.1624696893237256,12.929830726418336,0.8644381949362114,0.7457631386769408,0.0,0.21950169991239793,0.00023847360363937569,500.0,0.0,False
ai2d,mqt,500,Trajectory Platt (5D),7.105807052552701,1.119047312707359,6.434350824356079,1.1164856980270859,0.7377502455239102,0.00374870196354093,0.2041366751694223,0.0010092446869999529,500.0,0.0,False
ai2d,mqt,500,VCPS-5D (Our Method),6.981492531837214,0.4736666819777773,5.760091058770625,0.8653438875754464,0.7456775200825968,0.0005057120329894315,0.2011487717277729,0.0003620356297335483,500.0,0.0,False
ai2d,mqt,Full,Naive Confidence (NC),26.924747750163085,0.0,27.15036953985691,0.0,0.7457631386769408,0.0,0.28872155474471417,0.0,1600.0,0.0,True
ai2d,mqt,Full,Platt Scaling (1D),8.253448921872183,0.0,5.916362760959007,0.0,0.7457631386769408,0.0,0.201475471465614,0.0,1600.0,0.0,True
ai2d,mqt,Full,Temperature Scaling (TS),13.100700927720998,0.0,13.31315973165658,0.0,0.7457631386769408,0.0,0.21972540218434497,0.0,1600.0,0.0,True
ai2d,mqt,Full,Trajectory Platt (5D),6.530578933656214,0.0,6.269907556474208,0.0,0.7390647427664879,0.0,0.20352115570972834,0.0,1600.0,0.0,True
ai2d,mqt,Full,VCPS-5D (Our Method),6.987195914630126,0.0,6.801665952638681,0.0,0.7456120470398631,0.0,0.20127146750030364,0.0,1600.0,0.0,True
chartqa,mqt,100,Naive Confidence (NC),71.29543035104871,0.0,71.29543035104871,0.0,0.49145405003715625,0.0,0.6483113241601524,0.0,100.0,0.0,False
chartqa,mqt,100,Platt Scaling (1D),4.989892088619719,1.0186437445821812,3.0484246382459097,1.0972947183686965,0.5085459499628436,0.0,0.07738293483089864,0.001600859240712156,100.0,0.0,False
chartqa,mqt,100,Temperature Scaling (TS),44.88018805567559,0.0,44.88018805567558,0.0,0.49145405003715625,0.0,0.27785830171700704,0.0,100.0,0.0,False
chartqa,mqt,100,Trajectory Platt (5D),5.858659097796772,0.6575144835898462,3.867634788772557,1.4637606271120394,0.5547188506316572,0.04796266239631541,0.07913471283371364,0.002284213257947219,100.0,0.0,False
chartqa,mqt,100,VCPS-5D (Our Method),3.9248684133819025,0.7868244689938158,0.28449705193511476,0.21796208620417748,0.5408471637354471,0.040017942499049636,0.07552774641286511,0.0001790492770109322,100.0,0.0,False
chartqa,mqt,1000,Naive Confidence (NC),71.29543035104871,0.0,71.29543035104871,0.0,0.49145405003715625,0.0,0.6483113241601524,0.0,1000.0,0.0,False
chartqa,mqt,1000,Platt Scaling (1D),4.260730998230374,0.22391405607196724,2.513747638581981,0.2695377948640373,0.5085459499628436,0.0,0.07622897959769061,0.00021679511117888946,1000.0,0.0,False
chartqa,mqt,1000,Temperature Scaling (TS),44.88018805567559,0.0,44.88018805567558,0.0,0.49145405003715625,0.0,0.27785830171700704,0.0,1000.0,0.0,False
chartqa,mqt,1000,Trajectory Platt (5D),4.090841757645831,0.6162055707181971,2.1930324499960987,0.3492256420863582,0.6034018660721657,0.016206725079854056,0.07632869819421402,0.0005205532319592272,1000.0,0.0,False
chartqa,mqt,1000,VCPS-5D (Our Method),4.529420165209598,0.7646439151073035,0.2882237595941073,0.23572652692170662,0.5579720914870778,0.005744848309956521,0.07545520198613617,2.263228338263502e-05,1000.0,0.0,False
chartqa,mqt,1500,Naive Confidence (NC),71.29543035104871,0.0,71.29543035104871,0.0,0.49145405003715625,0.0,0.6483113241601524,0.0,1500.0,0.0,False
chartqa,mqt,1500,Platt Scaling (1D),4.27173089908375,0.07315271216113767,2.5072543776576013,0.45027649666967107,0.5085459499628436,0.0,0.07624101101938954,6.97287009104818e-05,1500.0,0.0,False
chartqa,mqt,1500,Temperature Scaling (TS),44.88018805567559,0.0,44.88018805567558,0.0,0.49145405003715625,0.0,0.27785830171700704,0.0,1500.0,0.0,False
chartqa,mqt,1500,Trajectory Platt (5D),4.288478059275077,0.36808257911415126,2.151025831652805,0.17303737127372715,0.6002972504334902,0.004147590144747867,0.07642655022273731,0.0002909242270522672,1500.0,0.0,False
chartqa,mqt,1500,VCPS-5D (Our Method),3.6864683587820615,0.22701209580149215,0.3441263382286347,0.155712704704452,0.5593427462637272,0.0024448121721229884,0.07545155678584228,1.3099264255193964e-05,1500.0,0.0,False
chartqa,mqt,200,Naive Confidence (NC),71.29543035104871,0.0,71.29543035104871,0.0,0.49145405003715625,0.0,0.6483113241601524,0.0,200.0,0.0,False
chartqa,mqt,200,Platt Scaling (1D),4.876888030161185,0.3822203358887641,2.5374597017296328,0.22919396523713723,0.5085459499628436,0.0,0.07693814916654844,0.0004493534410046003,200.0,0.0,False
chartqa,mqt,200,Temperature Scaling (TS),44.88018805567559,0.0,44.88018805567558,0.0,0.49145405003715625,0.0,0.27785830171700704,0.0,200.0,0.0,False
chartqa,mqt,200,Trajectory Platt (5D),5.491145480400883,1.686079012185788,3.909160036104731,1.6297716714872832,0.5509041367351994,0.024892703986413346,0.07905273756448292,0.00240001238753174,200.0,0.0,False
chartqa,mqt,200,VCPS-5D (Our Method),4.144954836593707,0.390043338130717,0.2903700273586057,0.23034581650265556,0.5514656097762365,0.025740748978874402,0.07550171160685278,0.00010601936576246544,200.0,0.0,False
chartqa,mqt,50,Naive Confidence (NC),71.29543035104871,0.0,71.29543035104871,0.0,0.49145405003715625,0.0,0.6483113241601524,0.0,50.0,0.0,False
